,URL
0,Mosul
1,Novosibirsk
2,Shiraz
3,Tabriz
4,Yinchuan
5,Muscat
6,Harare
7,Tegucigalpa
8,Onitsha
9,N-Djamena
10,Mandalay
11,Chon Buri
12,Basra
13,Taizhou Jiangsu
14,Nouakchott
15,Cochabamba
16,Niamey
17,Kisangani
18,Pointe-Noire
19,Freetown
20,Astana
21,Uyo
22,Mwanza
23,Omsk
24,Lilongwe
25,Nanyang Henan
26,Kigali
27,Tripoli
28,Krasnoyarsk
29,Kaduna
30,Bukavu
31,Abomey-Calavi
32,Maputo
33,Aba
34,Nnewi
35,San Salvador
36,Shimkent
37,Bujumbura
38,Managua
39,Bishkek
40,Kermanshah
41,Hargeysa
42,Kirkuk
43,Bobo-Dioulasso
44,Aden
45,Asmara
46,Sekondi Takoradi
47,Ikorodu
48,Ilorin
49,Tshikapa
50,Nyala
51,Blantyre-Limbe
