,URL
0,Newcastle upon Tyne
1,Thessaloniki
2,Bologna
3,Enugu
4,Lokoja
5,Zanzibar
6,Oshogbo
7,Malanje
8,Cotonou
9,Vientiane
10,Akure
11,Sokoto
12,As-Suways
13,Irkutsk
14,Barnaul
15,Nay Pyi Taw
16,Bulawayo
17,Khabarovsk
18,Bandar Abbas
19,Bissau
20,Zahedan
21,Vladivostok
22,Calabar
23,Tomsk
24,Mbeya
25,Samarkand
26,Beira
27,Djibouti
28,Bouake
29,Kemerovo
30,Karbala
31,Hamhung
32,Port of Spain
33,Abeokuta
34,Gombe
35,Kikwit
36,Arusha
