,URL
0,Enugu
1,Lokoja
2,Zanzibar
3,Oshogbo
4,Malanje
5,Cotonou
6,Vientiane
7,Akure
8,Sokoto
9,As-Suways
10,Irkutsk
11,Barnaul
12,Nay Pyi Taw
13,Bulawayo
14,Khabarovsk
15,Bandar Abbas
16,Bissau
17,Zahedan
18,Calabar
19,Tomsk
20,Mbeya
21,Samarkand
22,Samut Sakhon
23,Beira
24,Djibouti
25,Kemerovo
26,Karbala
27,Hamhung
28,Port of Spain
29,Abeokuta
30,Gombe
31,Kikwit
32,Arusha
