,URL
0,Enugu
1,Lokoja
2,Zanzibar
3,Oshogbo
4,Bunia
5,Gold Coast
6,Vientiane
7,Akure
8,Las Vegas
9,Sokoto
10,As-Suways
11,Irkutsk
12,Barnaul
13,Nay Pyi Taw
14,Bulawayo
15,Khabarovsk
16,Bandar Abbas
17,Yulin Guangxi
18,Bissau
19,Zahedan
20,Vladivostok
21,Calabar
22,Mathura
23,Tomsk
24,Mbeya
25,Samarkand
26,Beira
27,Djibouti
28,Kemerovo
29,Karbala
30,Hamhung
31,Port of Spain
32,Abeokuta
33,Gombe
34,Kikwit
35,Arusha
