,URL
0,Mosul
1,Novosibirsk
2,Tabriz
3,Muscat
4,Harare
5,Tegucigalpa
6,Onitsha
7,N-Djamena
8,Mandalay
9,Basra
10,Taizhou Jiangsu
11,Nouakchott
12,Homs
13,Cochabamba
14,Niamey
15,Kisangani
16,Pointe-Noire
17,Freetown
18,Astana
19,Uyo
20,Mwanza
21,Omsk
22,Lilongwe
23,Nanyang Henan
24,Kigali
25,Tripoli
26,Krasnoyarsk
27,Kaduna
28,Bukavu
29,Abomey-Calavi
30,Maputo
31,Aba
32,San Salvador
33,Shimkent
34,Bujumbura
35,Managua
36,Bishkek
37,Kermanshah
38,Hargeysa
39,Kirkuk
40,Bobo-Dioulasso
41,Aden
42,Asmara
43,Sekondi Takoradi
44,Ikorodu
45,Ilorin
46,Tshikapa
47,Nyala
48,Blantyre-Limbe
