,URL
0,Mosul
1,Tabriz
2,Muscat
3,Harare
4,Tegucigalpa
5,Onitsha
6,N-Djamena
7,Mandalay
8,Basra
9,Taizhou Jiangsu
10,Nouakchott
11,Homs
12,Cochabamba
13,Niamey
14,Kisangani
15,Pointe-Noire
16,Freetown
17,Astana
18,Uyo
19,Mwanza
20,Omsk
21,Lilongwe
22,Nanyang Henan
23,Kigali
24,Tripoli
25,Krasnoyarsk
26,Kaduna
27,Bukavu
28,Abomey-Calavi
29,Maputo
30,Aba
31,Nnewi
32,San Salvador
33,Shimkent
34,Bujumbura
35,Managua
36,Bishkek
37,Kermanshah
38,Hargeysa
39,Kirkuk
40,Bobo-Dioulasso
41,Aden
42,Asmara
43,Sekondi Takoradi
44,Ikorodu
45,Ilorin
46,Tshikapa
47,Nyala
48,Blantyre-Limbe
