,URL
0,Mosul
1,Novosibirsk
2,Tabriz
3,Muscat
4,Harare
5,Tegucigalpa
6,Onitsha
7,N-Djamena
8,Mandalay
9,Basra
10,Taizhou Jiangsu
11,Nouakchott
12,Homs
13,Copenhagen
14,Cochabamba
15,Niamey
16,Kisangani
17,Pointe-Noire
18,Freetown
19,Astana
20,Uyo
21,Mwanza
22,Omsk
23,Lilongwe
24,Nanyang Henan
25,Kigali
26,Tripoli
27,Krasnoyarsk
28,Kaduna
29,Bukavu
30,Abomey-Calavi
31,Maputo
32,Aba
33,Nnewi
34,San Salvador
35,Shimkent
36,Bujumbura
37,Managua
38,Bishkek
39,Kermanshah
40,Hargeysa
41,Kirkuk
42,Bobo-Dioulasso
43,Aden
44,Asmara
45,Sekondi Takoradi
46,Ikorodu
47,Ilorin
48,Tshikapa
49,Nyala
50,Blantyre-Limbe
