city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Izhevsk,18,O3,25,1,3,5,130,3,0,0,0,0
Jiangmen,122,PM2.5,6,5,45,70,604,47,0,0,0,0
Memphis,42,PM2.5,31,2,9,36,148,18,0,0,0,0
Jamnagar,97,PM2.5,17,19,36,53,310,26,0,0,0,0
Can Tho,53,PM2.5,30,1,15,15,274,2,0,0,0,0
Varanasi,255,PM2.5,3,7,213,362,73,49,225,477,0,0
Xiangyang,179,PM2.5,14,5,112,139,872,26,0,0,0,0
Erode,98,PM2.5,6,4,31,68,403,22,2,46,0,0
Khulna,178,PM2.5,13,3,113,186,1311,15,99,146,27,0
Doha,156,PM2.5,41,19,56,115,200,25,0,0,0,0
Haimen,86,PM2.5,29,5,31,80,530,16,0,0,0,0
Glasgow,43,NO2,27,0,7,18,157,46,31,68,0,0
Jerusalem,75,PM2.5,41,1,26,52,460,13,22,26,2,0
Chiclayo,27,PM2.5,29,1,7,11,88,1,0,0,0,0
Cucuta,67,O3,53,1,10,14,248,4,0,0,0,0
Wuhai,131,PM2.5,12,5,49,82,970,21,0,0,0,0
Nice,67,O3,53,1,10,14,248,4,0,0,0,0
Hegang,93,PM2.5,18,2,31,63,651,14,0,0,0,0
Shiraz,38,PM2.5,32,0,8,17,175,9,4,10,0,0
Dehradun,67,O3,53,3,149,323,1073,27,0,0,0,0
Sanya,28,O3,35,1,6,7,230,9,1,1,0,0
La Laguna,18,O3,20,0,4,6,85,4,0,0,0,0
Seongnam,83,PM2.5,33,3,27,41,936,35,0,0,0,0
Be'er Sheva,99,PM2.5,5,1,39,99,556,21,2,24,2,0
Stockholm,59,PM2.5,26,0,15,33,435,22,0,0,0,0
Durango,31,O3,33,0,1,2,83,1,0,0,0,0
Fort Worth,42,PM2.5,27,1,11,44,388,21,4,14,0,0
Anshan,20,O3,32,0,5,18,394,19,14,3,0,0
Bokaro Steel City,167,PM2.5,8,5,89,89,12,0,0,38,0,0
Agadir,35,O3,34,1,8,24,114,3,0,0,0,0
Auckland,40,PM2.5,21,2,11,30,74,15,0,0,0,0
Wroclaw,119,PM2.5,4,3,44,51,344,27,1,28,1,0
Mudanjiang,121,PM2.5,27,2,43,108,842,12,0,0,0,0
Jamshedpur,182,PM2.5,12,18,118,126,1303,14,4,36,1,0
Yinchuan,122,PM2.5,2,3,45,131,1887,45,0,0,0,0
Jilin,47,PM2.5,30,3,11,16,471,6,0,0,0,0
Guiping,107,PM2.5,20,10,39,85,708,23,0,0,0,0
Srinagar,161,PM2.5,29,3,63,108,642,7,2,12,16,0
Jiujiang,123,PM2.5,22,3,45,69,398,19,0,0,0,0
Batam,54,PM2.5,30,13,14,17,326,16,0,0,0,0
Ulaanbaatar,37,PM2.5,27,11,9,9,150,6,0,0,0,0
Southampton,29,O3,34,0,5,15,164,7,3,11,0,0
Laiwu,94,PM2.5,29,3,29,54,742,13,0,0,0,0
Marseille,59,PM2.5,8,1,14,28,197,24,6,16,3,0
Arequipa,94,PM2.5,29,3,29,54,742,13,0,0,0,0
Makassar,26,PM2.5,19,1,6,10,207,2,0,0,0,0
Venezia,59,PM2.5,7,0,14,38,163,50,0,62,1,0
