city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Tokyo,54,PM2.5,25,0,14,39,218,44,3,16,0,63
Delhi,331,PM10,4,7,237,450,2974,37,133,162,14,0
Shanghai,100,PM2.5,5,4,40,92,886,34,0,0,0,0
Sao Paulo,69,PM2.5,31,1,23,40,362,37,0,0,1,0
Mexico City,98,PM2.5,12,4,39,63,2227,63,0,0,0,0
Dhaka,196,PM2.5,3,8,124,124,563,9,1,6,0,0
Cairo,139,PM2.5,3,52,53,78,506,28,0,0,0,0
Beijing,126,PM2.5,2,1,35,100,864,49,0,0,0,0
Mumbai,114,PM2.5,11,6,52,94,789,40,6,32,2,0
Osaka,27,PM10,29,0,5,32,215,14,2,14,0,0
Karachi,77,PM2.5,30,4,29,63,403,10,0,0,0,0
Chongqing,121,PM2.5,1,4,45,110,735,22,0,0,0,0
Istanbul,90,PM2.5,7,4,27,53,1891,26,0,0,0,0
Buenos Aires,60,PM2.5,5,6,16,25,212,32,0,0,0,0
Kolkata,185,PM2.5,31,7,125,229,672,20,7,26,9,0
Manila,57,PM2.5,27,0,15,37,178,22,0,0,0,0
Tianjin,151,PM2.5,2,4,49,155,1113,60,0,0,0,0
Guangzhou,81,PM2.5,14,3,25,70,548,29,0,0,0,0
Rio de Janeiro,77,PM2.5,13,7,25,39,1416,73,0,0,0,0
Lahore,163,PM2.5,15,5,70,143,719,15,5,28,1,0
Bangalore,105,PM2.5,8,4,37,129,333,39,8,25,0,0
Moscow,62,PM2.5,2,1,22,26,273,28,13,0,0,0
Shenzhen,69,PM2.5,21,3,20,57,313,17,0,0,0,0
Chennai,86,PM2.5,8,11,27,29,809,21,7,14,2,0
Bogota,25,O3,24,0,3,6,273,18,15,34,0,0
Paris,88,PM2.5,8,1,35,43,209,29,0,0,0,0
Jakarta,62,PM2.5,23,5,22,61,1070,51,0,0,0,0
Lima,54,PM2.5,4,5,11,16,186,17,0,0,0,0
Bangkok,83,PM2.5,5,1,26,64,897,35,0,0,0,0
Hyderabad,134,PM2.5,5,2,48,122,533,41,12,28,2,0
Seoul,37,NO2,25,4,9,20,671,40,0,0,0,0
Nagoya,53,PM2.5,20,1,13,33,215,48,12,27,0,77
London,72,PM2.5,1,2,27,27,1206,25,18,37,0,0
Chengdu,107,PM2.5,5,4,40,67,590,24,0,0,0,0
Nanjing,116,PM2.5,3,4,38,122,936,54,0,0,0,0
Ho Chi Minh City,141,PM2.5,36,7,42,71,468,44,0,0,0,0
Wuhan,119,PM2.5,4,3,39,91,740,58,0,0,0,0
Xi-an Shaanxi,153,PM2.5,9,3,51,115,939,14,169,36,34,0
Ahmedabad,153,PM2.5,3,7,60,154,461,36,11,15,2,0
New York City,38,PM2.5,26,0,10,28,126,16,5,17,0,0
Kuala Lumpur,91,PM2.5,30,3,29,53,367,32,0,0,0,0
Hangzhou,63,PM2.5,3,3,17,62,1099,21,0,0,0,0
Hong Kong,70,PM2.5,11,5,21,47,567,35,0,0,0,0
Surat,179,PM2.5,17,65,103,167,1325,15,12,32,8,0
Dongguan,63,PM2.5,24,4,17,46,437,17,0,0,0,0
Suzhou,70,PM2.5,24,0,25,43,164,30,0,0,0,0
Foshan,79,PM2.5,17,4,24,65,519,29,0,0,0,0
Riyadh,108,PM2.5,15,13,31,105,195,29,0,0,0,0
Shenyang,82,PM2.5,3,24,29,72,1501,31,0,0,0,0
Santiago,67,PM2.5,25,2,17,63,411,42,0,0,0,0
Pune,151,PM2.5,9,3,47,72,1604,14,9,24,2,0
Madrid,62,PM2.5,10,1,17,20,307,39,4,22,1,0
Haerbin,34,PM2.5,21,4,9,15,525,10,0,0,0,0
Toronto,48,PM2.5,15,2,10,32,358,34,29,62,0,0
Belo Horizonte,114,PM2.5,12,4,43,63,976,46,0,0,0,0
Singapore,80,PM2.5,18,17,24,45,332,51,0,0,0,0
Johannesburg,81,PM2.5,13,3,27,66,522,31,15,35,0,0
Dalian,37,PM2.5,27,1,9,22,279,20,0,7,0,0
Qingdao,112,PM2.5,2,6,41,85,1366,34,0,0,0,0
Barcelona,68,PM2.5,31,0,21,28,208,41,5,22,1,0
Fukuoka,60,PM2.5,31,0,18,34,399,45,13,27,0,128
Ji-nan Shandong,108,PM2.5,15,6,38,103,640,41,0,0,0,0
Zhengzhou,143,PM2.5,11,5,43,112,335,51,0,0,0,0
Saint Petersburg,74,PM2.5,21,2,23,25,157,20,0,0,0,0
Alexandria,84,PM2.5,14,52,31,50,298,20,0,0,0,0
Guadalajara,82,PM2.5,33,6,30,34,327,26,0,0,0,0
Ankara,77,PM2.5,16,4,19,58,289,46,0,0,0,0
Chittagong,109,PM2.5,31,2,37,56,285,4,1,3,0,0
Melbourne,42,PM2.5,26,1,11,23,227,19,0,0,0,0
Addis Ababa,59,PM2.5,21,1,15,52,2375,4,0,0,0,0
Sydney,57,PM2.5,10,0,18,55,82,28,0,0,0,0
Monterrey,60,PM2.5,28,7,17,27,491,30,0,0,0,0
Nairobi,74,PM2.5,17,2,24,35,680,8,0,0,0,0
Hanoi,86,PM2.5,20,6,29,55,366,40,0,0,0,0
Brasilia,72,PM2.5,11,1,21,26,438,37,0,0,0,0
Cape Town,71,PM2.5,1,2,23,50,604,9,0,1,0,0
Jiddah,99,SO2,7,75,17,34,187,34,0,0,0,0
Changsha,105,PM2.5,2,3,39,68,652,24,0,0,0,0
Kunming,47,PM2.5,11,2,13,18,585,8,0,0,0,0
Urumqi,87,PM2.5,24,3,31,98,653,19,0,0,0,0
