city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Tokyo,66,PM2.5,7,1,21,50,560,66,4,39,0,241
Delhi,196,PM2.5,5,5,158,293,2466,60,21,52,5,0
Shanghai,92,PM2.5,3,3,34,80,850,42,0,0,0,0
Sao Paulo,95,PM2.5,78,0,33,97,224,57,0,0,3,0
Mexico City,60,PM2.5,21,1,15,29,640,29,0,0,0,0
Dhaka,232,PM2.5,3,11,202,328,1275,28,2,36,0,0
Cairo,82,PM2.5,10,28,29,44,277,38,0,0,0,0
Beijing,112,PM2.5,2,1,49,117,493,61,0,0,0,0
Mumbai,128,PM2.5,17,6,49,104,667,46,5,26,3,0
Osaka,24,NO2,13,0,8,30,283,26,6,26,0,0
Karachi,75,PM2.5,26,5,21,37,559,18,0,0,0,0
Chongqing,126,PM2.5,3,4,47,100,1108,40,0,0,0,0
Istanbul,104,PM2.5,4,4,41,58,2252,48,0,0,0,0
Buenos Aires,58,PM2.5,27,5,17,31,102,27,0,0,0,0
Kolkata,179,PM2.5,20,8,123,236,1072,47,8,53,36,0
Manila,55,PM2.5,16,0,11,31,173,24,0,0,0,0
Tianjin,121,PM2.5,4,3,55,130,713,42,0,0,0,0
Guangzhou,79,PM2.5,18,3,26,64,569,26,0,0,0,0
Rio de Janeiro,112,PM2.5,94,4,45,70,281,23,0,0,0,0
Lahore,162,PM2.5,18,10,81,160,1280,30,7,45,1,0
Bangalore,109,PM2.5,5,4,42,171,358,48,8,29,0,0
Moscow,72,PM2.5,3,1,23,36,449,46,39,0,0,0
Shenzhen,64,PM2.5,20,3,18,59,375,22,0,0,0,0
Chennai,83,PM2.5,7,3,29,86,981,30,4,12,1,0
Bogota,23,PM2.5,15,0,8,31,285,24,15,36,0,0
Paris,63,PM2.5,19,0,17,38,332,39,88,37,0,0
Jakarta,70,PM2.5,3,4,21,52,1704,46,0,0,0,0
Lima,161,PM2.5,4,5,85,85,142,17,0,0,0,0
Bangkok,84,PM2.5,6,2,27,65,914,32,0,0,0,0
Hyderabad,112,PM2.5,8,2,47,153,872,39,6,22,3,0
Seoul,49,PM2.5,36,3,12,21,454,21,0,0,0,0
Nagoya,57,PM2.5,26,1,15,44,212,38,2,10,0,148
London,84,PM2.5,1,2,29,55,1282,43,59,92,0,0
Chengdu,82,PM2.5,12,3,29,69,500,32,0,0,0,0
Nanjing,102,PM2.5,4,3,36,134,558,66,0,0,0,0
Ho Chi Minh City,147,PM2.5,5,2,60,91,1183,67,0,0,0,0
Wuhan,138,PM2.5,5,3,56,123,697,67,0,0,0,0
Xi-an Shaanxi,153,PM2.5,10,4,61,147,756,23,255,37,30,0
Ahmedabad,153,PM2.5,4,7,60,195,1122,27,5,15,2,0
New York City,34,PM2.5,17,0,8,26,213,20,11,25,0,0
Kuala Lumpur,97,PM2.5,6,7,28,49,1659,63,0,0,0,0
Hangzhou,97,PM2.5,2,3,36,104,934,39,0,0,0,0
Hong Kong,79,PM2.5,17,5,22,49,639,31,0,0,0,0
Surat,187,PM2.5,21,38,140,204,1286,47,9,28,8,0
Dongguan,75,PM2.5,15,4,26,56,514,23,0,0,0,0
Suzhou,66,PM2.5,17,0,19,55,151,33,0,0,0,0
Foshan,76,PM2.5,8,2,27,63,523,41,0,0,0,0
Riyadh,157,PM2.5,6,15,71,249,194,72,0,0,0,0
Shenyang,109,PM2.5,3,23,42,66,786,32,0,0,0,0
Santiago,77,PM2.5,25,3,26,92,610,55,0,0,0,0
Pune,161,PM2.5,5,43,88,174,1714,39,13,37,2,0
Madrid,161,PM2.5,5,43,88,174,1714,39,13,37,2,0
Haerbin,44,PM2.5,25,4,9,12,446,9,0,0,0,0
Toronto,44,PM2.5,25,4,9,12,446,9,0,0,0,0
Belo Horizonte,68,PM2.5,63,2,20,28,145,26,0,0,0,0
Singapore,63,PM2.5,15,12,18,48,445,46,0,0,0,0
Johannesburg,68,PM2.5,37,2,19,50,584,43,6,14,0,0
Dalian,36,PM2.5,20,1,9,36,329,22,4,12,0,0
Qingdao,85,PM2.5,2,6,31,74,530,38,0,0,0,0
Barcelona,74,PM2.5,25,1,23,42,258,36,8,19,1,0
Fukuoka,55,PM2.5,32,0,14,46,1190,38,7,18,0,131
Ji-nan Shandong,121,PM2.5,20,6,47,85,564,40,0,0,0,0
Zhengzhou,156,PM2.5,6,3,70,126,399,52,0,0,0,0
Saint Petersburg,93,PM2.5,1,5,34,51,426,52,0,0,0,0
Alexandria,79,SO2,17,59,21,34,158,26,0,0,0,0
Guadalajara,52,PM2.5,24,2,11,22,233,15,0,0,0,0
Ankara,134,PM2.5,3,5,42,109,359,76,0,0,0,0
Chittagong,134,PM2.5,25,3,46,69,363,11,1,16,5,0
Melbourne,50,PM2.5,19,1,15,18,262,11,0,0,0,0
Addis Ababa,60,PM2.5,37,1,17,26,864,3,0,0,0,0
Sydney,60,PM2.5,37,1,17,26,864,3,0,0,0,0
Monterrey,44,PM2.5,1,0,11,49,251,29,0,0,0,0
Nairobi,49,PM2.5,35,1,14,20,516,7,0,0,0,0
Hanoi,109,PM2.5,8,6,38,80,912,57,0,0,0,0
Brasilia,55,PM2.5,46,0,14,21,148,10,0,0,0,0
Cape Town,54,PM2.5,17,2,15,62,658,36,3,5,0,0
Jiddah,116,PM2.5,9,49,41,80,170,67,0,0,0,0
Changsha,98,PM2.5,9,2,38,84,991,35,0,0,0,0
Kunming,67,PM2.5,4,2,19,27,756,13,0,0,0,0
Urumqi,97,PM2.5,10,3,30,97,1408,37,0,0,0,0
Changchun,56,PM2.5,18,6,13,30,408,13,0,0,0,0
Xinbei,79,PM2.5,25,2,24,59,84,26,2,7,0,0
Hefei,118,PM2.5,8,2,42,112,474,63,0,0,0,0
Rome,65,PM2.5,7,1,18,28,354,38,4,9,1,0
Ningbo,104,PM2.5,2,5,39,128,790,38,0,0,0,0
Tel Aviv,69,PM2.5,39,1,19,34,338,19,8,23,1,0
Montreal,43,PM2.5,19,0,10,25,212,22,1,5,0,0
Shijiazhuang,127,PM2.5,2,4,45,96,1089,35,0,0,0,0
Recife,68,PM2.5,30,1,20,53,98,12,0,0,0,0
Yaounde,68,PM2.5,30,1,20,53,98,12,0,0,0,0
Porto Alegre,69,PM2.5,26,1,21,34,79,29,0,0,0,0
Fortaleza,71,PM2.5,23,1,24,33,103,12,0,0,0,0
Medellin,68,PM2.5,31,1,18,29,151,30,0,0,0,0
Jaipur,108,PM2.5,7,6,60,243,5996,104,318,397,10,0
Los Angeles,60,PM2.5,1,1,16,54,804,52,63,102,0,120
Taiyuan Shanxi,93,PM2.5,36,2,37,68,185,27,2,10,0,0
Nanning,66,PM2.5,20,7,19,39,437,17,0,0,0,0
Ekurhuleni,77,PM2.5,39,5,23,61,1205,42,10,21,0,0
Salvador,61,PM2.5,38,1,17,36,116,24,0,0,0,0
Casablanca,41,PM2.5,35,4,9,14,121,7,0,0,0,0
Lucknow,186,PM2.5,9,5,154,250,3174,84,94,166,14,0
Fuzhou Fujian,186,PM2.5,9,5,154,250,3174,84,94,166,14,0
Changzhou,96,PM2.5,3,4,35,103,656,35,0,0,0,0
Kozhikode,109,PM2.5,4,2,41,91,786,25,51,56,0,0
Curitiba,47,PM2.5,43,1,11,18,98,15,0,0,0,0
Wenzhou,41,PM2.5,18,0,8,15,261,25,18,35,0,0
Nanchang,93,PM2.5,3,4,34,110,538,32,0,0,0,0
Malappuram,73,PM2.5,5,2,22,44,671,10,32,46,0,0
Berlin,73,PM2.5,6,1,21,44,281,33,16,11,1,0
Tangshan Hebei,73,PM2.5,6,1,21,44,281,33,16,11,1,0
Faisalabad,179,PM2.5,8,6,113,166,1654,36,0,0,0,0
Bekasi,69,PM2.5,1,3,22,54,1688,45,0,0,0,0
Kampala,99,PM2.5,37,0,30,37,515,3,0,0,0,0
Busan,40,O3,51,2,5,7,249,9,0,3,0,0
Guiyang,67,PM2.5,21,7,19,36,269,17,0,0,0,0
Campinas,92,PM2.5,67,1,28,28,297,16,0,0,1,0
Wuxi,23,PM2.5,23,1,5,24,380,8,4,12,0,0
Puebla,34,PM2.5,32,0,9,22,163,17,0,0,0,0
Thrissur,88,PM2.5,8,0,31,60,465,25,10,34,1,0
Kochi,78,PM2.5,4,1,27,44,1114,12,39,42,0,0
Kuwait City,148,PM2.5,32,3,52,228,197,52,0,0,0,0
Durban,68,PM2.5,27,2,21,44,93,31,0,0,0,0
