city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Tokyo,66,PM2.5,7,1,21,50,560,66,4,39,0,241
Delhi,196,PM2.5,5,5,158,293,2466,60,21,52,5,0
Shanghai,92,PM2.5,3,3,34,80,850,42,0,0,0,0
Dhaka,232,PM2.5,3,11,202,328,1275,28,2,36,0,0
Sao Paulo,95,PM2.5,78,0,33,97,224,57,0,0,3,0
Mexico City,60,PM2.5,21,1,15,29,640,29,0,0,0,0
Cairo,82,PM2.5,10,28,29,44,277,38,0,0,0,0
Beijing,112,PM2.5,2,1,49,117,493,61,0,0,0,0
Mumbai,128,PM2.5,17,6,49,104,667,46,5,26,3,0
Osaka,24,NO2,13,0,8,30,283,26,6,26,0,0
