city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Izhevsk,24,PM2.5,28,2,5,11,139,9,0,0,0,0
Jiangmen,76,PM2.5,8,5,23,60,516,32,0,0,0,0
Memphis,42,PM2.5,19,1,9,36,143,15,0,0,0,0
Can Tho,84,PM2.5,20,3,28,55,579,9,0,0,0,0
Jamnagar,103,PM2.5,15,16,38,55,339,28,0,0,0,0
Raipur,92,PM2.5,20,2,31,92,585,10,10,31,0,0
Varanasi,203,PM2.5,3,5,150,234,3234,54,56,170,1,0
Xiangyang,120,PM2.5,6,5,41,75,614,28,0,0,0,0
Erode,77,PM2.5,12,3,21,36,319,13,4,26,0,0
Doha,154,PM2.5,22,8,76,90,175,32,0,0,0,0
Pachuca de Soto,75,PM2.5,56,3,24,39,183,23,0,0,0,0
Glasgow,45,PM2.5,23,1,10,18,131,20,5,19,0,0
Haimen,88,PM2.5,31,7,39,39,522,15,0,0,0,0
Shiraz,61,PM2.5,23,0,17,46,320,17,6,19,0,0
Chiclayo,34,PM2.5,29,1,8,14,87,1,0,0,0,0
La Laguna,18,O3,20,0,4,7,102,5,0,0,0,0
Wuhai,95,PM2.5,4,7,30,63,695,32,0,0,0,0
Cixi,130,PM2.5,1,5,45,127,1286,34,0,0,0,0
Hegang,58,PM2.5,31,2,16,18,281,3,0,0,0,0
Sanya,45,PM2.5,36,1,11,13,177,5,1,1,0,0
Stockholm,53,PM2.5,21,0,14,42,402,22,0,0,0,0
Be'er Sheva,87,PM2.5,5,1,31,49,475,21,3,25,1,0
Anshan,33,O3,41,0,2,7,135,4,1,0,0,0
Durango,40,O3,48,0,2,2,92,2,0,0,0,0
Auckland,36,PM2.5,21,1,9,29,65,13,0,0,0,0
Bokaro Steel City,198,PM2.5,7,5,139,139,7,0,0,50,0,0
Jamshedpur,211,PM2.5,5,34,167,238,2606,42,0,0,0,0
Wroclaw,127,PM2.5,3,3,48,57,358,25,1,26,1,0
Yinchuan,99,PM2.5,2,13,33,99,1536,35,0,0,0,0
Jilin,77,PM2.5,20,3,21,32,517,12,0,0,0,0
Srinagar,168,PM2.5,39,5,91,166,955,15,14,35,12,0
Batam,44,PM2.5,17,8,11,11,177,11,0,0,0,0
Ulaanbaatar,221,PM2.5,18,32,133,133,242,20,0,0,0,0
Marseille,78,PM2.5,6,0,27,36,356,40,40,45,2,0
Makassar,23,PM2.5,15,1,5,9,194,3,0,0,0,0
Miluo,77,PM2.5,3,1,26,31,729,36,0,11,2,0
Yichang,103,PM2.5,14,2,36,48,403,10,0,0,0,0
Aurangabad,131,PM2.5,4,10,47,80,1192,9,1,5,5,0
Venezia,56,PM2.5,5,0,15,57,175,58,0,39,1,0
Jambi,43,PM2.5,18,1,9,13,128,2,0,0,0,0
Safaqis,128,PM2.5,7,59,53,102,175,56,0,0,0,0
Qinhuangdao,173,PM2.5,7,5,89,179,1000,21,30,59,4,0
Philadelphia,93,PM2.5,27,3,32,56,314,27,3,16,0,0
Cordoba,19,O3,20,0,4,6,106,1,0,0,0,0
Qiqihaer,53,PM2.5,21,6,12,20,308,7,0,0,0,0
Xining,27,O3,24,0,6,8,122,3,0,0,0,0
Duesseldorf,111,PM2.5,1,1,41,72,290,31,67,9,0,0
Karaj,48,PM2.5,25,0,10,22,355,11,10,25,0,0
Belfast,70,PM2.5,16,2,23,38,76,22,4,20,0,0
San Antonio,48,PM10,27,0,9,58,169,16,0,2,0,0
Calgary,50,PM2.5,14,0,11,30,576,37,17,36,0,0
Hengyang,119,PM2.5,1,4,45,76,729,22,0,0,0,0
Stuttgart,83,PM2.5,6,1,29,43,307,26,27,11,0,0
Daejon,29,O3,29,0,5,7,125,8,14,18,0,0
Verona,48,PM2.5,27,0,9,32,299,20,5,17,0,0
Monrovia,55,PM10,39,0,10,67,260,21,2,11,0,0
Raurkela,151,PM2.5,7,12,54,91,761,15,11,32,0,0
Tiruppur,52,PM2.5,1,5,7,12,192,13,1,26,0,0
Jubayl,103,PM2.5,15,19,38,64,187,51,0,0,0,0
Rosario,51,PM2.5,25,0,11,22,88,10,0,0,0,0
Riga,81,PM2.5,21,1,28,52,185,24,0,0,0,0
Kolhapur,143,PM2.5,25,2,52,77,417,17,5,15,1,0
Bacolod,51,PM2.5,17,0,12,31,84,9,0,0,0,0
Seregno,55,PM2.5,2,1,15,18,561,36,0,6,1,0
Ulyanovsk,55,PM2.5,2,1,15,18,561,36,0,6,1,0
Munich,55,PM2.5,0,2,15,20,322,10,32,0,0,0
Al-Ain,144,PM2.5,5,3,47,84,194,41,0,0,0,0
Bari,57,PM2.5,11,1,14,17,297,11,0,2,1,0
Gaoxiong,140,PM2.5,6,2,52,99,360,33,3,18,0,0
Yulin Guangxi,67,PM2.5,8,2,15,27,175,8,1,9,0,0
Ajmer,194,PM2.5,2,5,138,168,1004,40,1,51,4,0
Kuching,33,PM2.5,11,1,8,11,187,2,0,0,0,0
Ciudad Juarez,103,O3,81,4,12,19,168,6,0,0,0,0
Anyang,142,PM2.5,1,4,53,147,1497,30,0,0,0,0
Kananga,59,PM2.5,17,1,24,30,77,16,0,0,0,0
Gwangju,83,PM2.5,13,3,25,46,706,19,0,0,0,0
Suqian,217,PM2.5,1,4,168,168,863,51,0,0,0,0
Geneva,91,PM2.5,2,1,31,32,247,13,9,2,0,0
Jining Shandong,67,PM2.5,30,1,15,28,130,19,0,6,0,0
Enshi,46,PM2.5,22,0,9,22,352,12,9,25,0,0
Medina,82,PM2.5,5,11,26,56,201,50,0,0,0,0
Anshun,63,PM2.5,25,0,15,44,333,24,8,22,0,0
Yekaterinburg,56,PM2.5,28,2,14,30,136,30,0,0,0,0
Colombo,66,PM2.5,30,1,19,40,126,22,0,0,0,0
