city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Khulna,174,PM2.5,13,4,107,168,1197,18,69,111,31,0
Jerusalem,68,PM2.5,46,1,22,56,486,13,8,21,2,0
Cucuta,47,O3,62,1,10,14,233,1,0,0,0,0
Nice,54,PM2.5,11,0,14,39,156,28,3,7,0,0
Dehradun,225,PM10,9,3,171,343,1201,30,8,26,15,0
Seongnam,225,PM10,9,3,171,343,1201,30,8,26,15,0
Fort Worth,43,PM2.5,20,1,8,45,389,19,5,14,0,0
Agadir,37,O3,37,1,7,26,113,2,0,0,0,0
Mudanjiang,37,O3,37,1,7,26,113,2,0,0,0,0
Guiping,106,PM2.5,20,4,39,90,751,27,0,0,0,0
Jiujiang,117,PM2.5,28,3,47,81,425,20,0,0,0,0
Southampton,27,O3,35,0,2,6,147,1,2,9,0,0
Laiwu,98,PM2.5,18,4,31,103,862,25,0,0,0,0
Arequipa,42,O3,49,1,7,12,97,1,0,0,0,0
Ciudad Guayana,19,O3,20,0,2,3,131,2,0,0,0,0
Zamboanga City,38,PM2.5,18,0,9,21,77,8,0,0,0,0
Veracruz,40,PM2.5,43,2,10,17,150,1,0,0,0,0
Jacksonville,49,PM2.5,30,2,12,39,300,28,0,0,0,0
Zhucheng,58,PM2.5,34,1,17,23,110,12,1,2,0,0
Pathum Thani,121,PM2.5,10,3,41,76,520,31,0,0,0,0
Rajshahi,121,PM2.5,10,3,41,76,520,31,0,0,0,0
Chengde,58,PM2.5,31,1,20,60,75,10,2,5,0,0
Guigang,98,PM2.5,14,3,28,60,333,10,1,11,0,0
Reynosa,35,PM2.5,29,1,8,29,155,14,0,0,0,0
Bengbu,104,PM2.5,14,3,36,55,262,22,0,0,0,0
Columbus,54,PM2.5,23,1,13,36,199,22,0,0,0,0
Villahermosa,56,PM2.5,41,4,16,30,131,12,0,0,0,0
Yangjiang,29,O3,33,1,5,7,146,2,1,3,0,0
Charlotte,48,PM2.5,30,0,11,32,206,19,2,9,0,0
Ulsan,46,PM2.5,34,3,11,17,457,13,0,1,0,0
Oran,27,O3,32,0,3,4,159,3,2,6,0,0
West Rand,84,PM2.5,3,0,32,85,444,16,7,10,0,0
Campo Grande,22,PM2.5,18,0,5,8,157,1,0,0,0,0
Liverpool,62,PM2.5,34,1,19,26,131,25,2,5,0,0
Antipolo,31,PM2.5,21,0,10,31,107,14,0,0,0,0
Najaf,31,PM2.5,21,0,10,31,107,14,0,0,0,0
Zhangzhou,75,PM2.5,29,2,21,42,421,14,0,3,0,0
Bergamo,54,PM2.5,4,1,14,16,658,35,0,7,1,0
Donetsk,98,PM2.5,18,2,29,38,277,17,0,0,0,0
Tianmen,33,O3,36,0,2,3,118,1,0,1,0,0
Londrina,44,O3,48,0,10,18,101,18,0,0,0,0
Leiyang,28,O3,33,0,3,8,226,3,1,6,0,0
Malang,76,PM2.5,12,0,21,37,187,21,0,0,0,0
La Plata,62,PM2.5,30,1,18,35,79,20,0,0,0,0
Concepcion,29,PM2.5,16,1,6,28,284,2,0,0,0,0
Hengshui,159,PM2.5,20,8,66,135,734,30,0,0,0,0
Linfen,155,PM2.5,2,7,65,129,1434,38,0,0,0,0
Xinyu,57,PM2.5,27,1,15,35,142,27,1,4,0,0
Sylhet,57,PM2.5,27,1,15,35,142,27,1,4,0,0
Dandong,96,PM2.5,2,9,34,88,1559,21,0,0,0,0
Indianapolis,96,PM2.5,2,9,34,88,1559,21,0,0,0,0
Guntur,151,PM2.5,8,4,57,84,376,8,2,10,1,0
Jiangyin,57,PM2.5,29,3,12,26,461,8,0,0,0,0
Bhiwandi,158,PM2.5,7,9,81,233,722,38,49,86,7,0
Liaoyang,61,PM2.5,33,4,17,21,514,6,0,0,0,0
Bahawalpur,168,PM2.5,15,4,95,142,931,15,0,0,0,0
Changzhi,117,PM2.5,25,3,46,70,524,21,0,0,0,0
Tyumen,54,PM2.5,23,1,12,39,129,36,0,0,0,0
Soshanguve,22,O3,19,1,4,24,689,4,2,6,1,0
Tuxtla Gutierrez,46,PM2.5,37,0,11,22,125,11,0,0,0,0
Baishan,83,PM2.5,29,1,31,45,105,24,1,2,0,0
Liling,113,PM2.5,30,8,37,82,688,18,0,0,0,0
Tainan,124,PM2.5,22,2,50,104,366,35,1,15,0,0
Puducherry,40,PM2.5,5,3,7,13,337,16,2,8,1,0
Culiacan,20,O3,36,0,4,6,88,1,0,0,0,0
Changde,126,PM2.5,20,5,48,129,654,25,0,0,0,0
Fuxin,83,PM2.5,18,10,24,45,476,16,0,0,0,0
Palermo,37,PM2.5,40,2,10,37,172,22,0,0,0,0
Shangqiu,119,PM2.5,35,4,42,102,580,13,0,0,0,0
Xingtai,78,PM2.5,31,1,29,53,215,6,1,7,0,0
Hufuf-Mubarraz,108,PM2.5,39,25,37,66,197,14,0,0,0,0
Firozabad,194,PM2.5,16,2,132,215,857,12,2,26,3,0
Huangshi,132,PM2.5,17,6,49,92,1976,28,0,0,0,0
Saratov,72,PM2.5,20,1,24,84,121,16,0,0,0,0
Valencia,57,PM2.5,40,1,16,16,94,19,2,4,0,0
Luzhou,122,PM2.5,2,11,44,91,701,20,0,0,0,0
Quebec City,28,PM2.5,28,0,7,22,131,10,0,0,0,0
Yibin,135,PM2.5,6,6,49,88,600,19,0,0,0,0
Bucheon,107,PM2.5,21,3,40,55,798,35,0,0,0,0
Ipoh,83,PM2.5,13,0,38,50,301,10,0,0,0,0
Winnipeg,48,PM2.5,33,0,12,25,125,10,0,0,0,0
Bogra,162,PM2.5,22,1,81,81,285,5,0,0,0,0
Cabinda,162,PM2.5,22,1,81,81,285,5,0,0,0,0
Xinyang,152,PM2.5,16,4,64,133,691,34,0,0,0,0
Xinghua,27,O3,31,1,2,6,490,2,3,5,0,0
Newcastle upon Tyne,33,PM2.5,32,1,7,11,130,10,2,12,0,0
Yangquan,262,PM2.5,2,8,221,221,834,11,1,9,0,0
Thessaloniki,46,PM2.5,28,1,12,34,139,20,0,0,0,0
Yongzhou,62,PM2.5,21,12,19,55,410,41,0,0,0,0
Bologna,73,NO2,26,1,14,36,611,75,3,8,1,0
Xiaogan,99,PM2.5,33,1,38,74,311,26,1,9,0,0
Heze,133,PM2.5,41,4,47,126,524,13,0,0,0,0
Barcelona-Puerto La Cruz,27,O3,28,1,5,6,133,7,0,0,0,0
Kuerle,101,PM2.5,9,2,37,64,273,18,0,0,0,0
Niigata,36,O3,41,0,0,4,200,2,0,2,0,10
Eskisehir,69,PM2.5,21,2,20,38,135,30,0,0,0,0
Cherthala,81,PM2.5,7,5,25,40,914,22,39,53,0,0
Quzhou,63,PM2.5,34,2,15,40,262,9,0,0,0,0
Zhuji,31,PM2.5,31,0,8,13,171,26,4,9,0,0
Sorocaba,55,PM2.5,56,0,14,29,304,23,0,0,1,0
Haicheng,61,PM2.5,31,4,18,36,667,10,0,0,0,0
Nottingham,55,PM2.5,33,1,12,15,129,17,3,7,0,0
Tianshui,52,PM2.5,26,3,14,30,530,14,0,0,0,0
Huludao,74,PM2.5,39,1,25,55,675,9,1,11,1,0
Xalapa,32,O3,42,0,7,11,142,1,0,0,0,0
Bikaner,99,PM2.5,41,3,34,54,247,6,0,0,0,0
Frankfurt,40,PM2.5,6,0,10,20,248,23,11,33,1,0
Huaihua,44,O3,57,1,7,11,179,0,0,0,0,0
Nakhon Ratchasima,122,PM2.5,47,1,56,124,440,16,0,0,0,0
Vereeniging,56,PM2.5,15,2,12,25,166,26,3,13,0,0
Liaocheng,152,PM2.5,11,9,51,129,870,46,0,0,0,0
Seattle,40,PM2.5,8,0,10,47,329,22,10,23,0,0
Jiaozuo,79,PM2.5,32,1,24,36,247,3,0,3,0,0
