city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Jiangmen,71,PM2.5,34,5,23,59,511,23,0,0,0,0
Can Tho,74,PM2.5,35,3,26,31,340,5,0,0,0,0
Raipur,80,PM2.5,30,8,24,54,30,10,9,31,0,0
Varanasi,199,PM2.5,3,5,149,216,1658,34,7,67,0,0
Xiangyang,159,PM2.5,37,6,69,133,832,20,0,0,0,0
Khulna,176,PM2.5,39,6,89,161,652,9,16,43,11,0
La Laguna,22,PM2.5,26,0,5,9,96,3,0,0,0,0
Stockholm,64,PM2.5,16,0,23,36,468,17,0,0,0,0
Anshan,35,NO2,14,2,6,23,1076,37,111,18,0,0
Auckland,42,PM2.5,18,1,10,35,66,16,0,0,0,0
Jamshedpur,173,PM2.5,26,27,75,139,429,13,4,14,0,0
Dehradun,179,PM2.5,10,3,111,248,1194,24,8,21,17,0
Yinchuan,122,PM2.5,14,12,47,99,1546,32,0,0,0,0
Jilin,77,PM2.5,32,4,14,17,473,8,0,0,0,0
Srinagar,152,PM2.5,50,6,61,101,625,10,6,20,14,0
Ulaanbaatar,173,PM2.5,18,38,48,48,282,28,0,0,0,0
Yichang,121,PM2.5,34,3,45,85,429,19,0,0,0,0
Aurangabad,119,PM2.5,18,5,38,81,1083,10,2,7,5,0
Cordoba,37,PM2.5,8,0,8,12,112,2,0,0,0,0
Qiqihaer,68,PM2.5,25,18,22,63,374,13,0,0,0,0
Xining,28,PM2.5,16,0,7,11,144,1,0,0,0,0
Guiping,97,PM2.5,43,5,33,60,528,10,0,0,0,0
Jiujiang,90,PM10,40,5,25,142,693,21,0,0,0,0
Southampton,23,O3,23,0,3,4,175,3,2,8,0,0
Hengyang,119,PM2.5,43,10,39,84,716,14,0,0,0,0
Laiwu,139,PM2.5,28,8,48,132,1118,32,0,0,0,0
Daejon,24,O3,26,0,2,2,199,2,0,11,0,0
Arequipa,20,O3,15,1,5,8,176,9,0,0,0,0
Ciudad Guayana,13,PM2.5,11,0,3,5,114,1,0,0,0,0
Zamboanga City,47,PM2.5,23,0,12,25,86,10,0,0,0,0
Veracruz,40,PM2.5,24,2,10,18,155,4,0,0,0,0
Tiruppur,89,PM2.5,2,5,27,48,445,10,9,19,0,0
Jacksonville,52,PM2.5,22,1,12,38,300,17,0,0,0,0
Rosario,53,PM2.5,20,1,13,27,109,9,0,0,0,0
Rajshahi,166,PM2.5,52,4,86,153,384,6,7,35,1,0
Gaoxiong,122,PM2.5,41,2,49,96,543,47,5,22,0,0
