city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Varanasi,179,PM2.5,1,4,100,160,1329,27,7,53,0,0
Xiangyang,126,PM2.5,10,6,48,89,748,25,0,0,0,0
Glasgow,30,O3,42,0,2,4,117,7,2,9,0,0
Shiraz,71,PM2.5,6,0,23,46,468,31,6,37,0,0
La Laguna,25,PM2.5,20,0,7,10,95,5,0,0,0,0
Cixi,128,PM2.5,8,7,47,129,1788,28,0,0,0,0
Stockholm,128,PM2.5,8,7,47,129,1788,28,0,0,0,0
Anshan,34,O3,20,0,8,22,448,20,0,3,0,0
Auckland,55,PM2.5,32,1,15,46,69,21,0,0,0,0
Jamshedpur,192,PM2.5,18,25,130,217,1768,31,11,44,8,0
Yinchuan,113,PM2.5,3,8,41,99,1535,34,0,0,0,0
Jilin,79,PM2.5,20,8,27,37,673,18,0,0,0,0
Srinagar,164,PM2.5,39,5,85,130,810,6,20,31,11,0
Batam,76,PM2.5,38,11,29,90,309,20,0,0,0,0
Ulaanbaatar,286,PM2.5,25,24,298,298,254,17,0,0,0,0
Marseille,98,PM2.5,9,1,34,34,265,19,0,19,1,0
Makassar,62,PM2.5,27,1,20,33,154,12,0,0,0,0
Yichang,88,PM2.5,11,2,30,59,458,17,0,0,0,0
Aurangabad,151,PM2.5,1,12,52,99,1083,10,2,7,5,0
Qinhuangdao,163,PM2.5,7,5,76,148,745,22,16,37,3,0
Philadelphia,86,PM2.5,17,4,31,58,401,27,0,15,0,0
Cordoba,33,PM2.5,15,0,6,9,120,2,0,0,0,0
Qiqihaer,48,PM2.5,22,5,13,34,399,11,0,0,0,0
Xining,36,PM2.5,15,0,9,14,138,8,0,0,0,0
Karaj,63,PM2.5,4,0,20,24,555,25,11,44,0,0
San Antonio,42,PM2.5,30,0,10,32,166,30,0,2,0,0
Calgary,28,PM2.5,31,0,6,27,379,18,0,6,0,0
Hengyang,123,PM2.5,7,6,44,75,797,20,0,0,0,0
Daejon,26,O3,27,0,2,2,125,2,7,16,0,0
Monrovia,51,PM2.5,35,0,14,41,315,25,0,10,0,0
Tiruppur,54,PM2.5,11,4,17,26,308,20,1,40,0,0
Rosario,53,PM2.5,21,1,13,25,119,9,0,0,0,0
Munich,51,PM2.5,2,1,12,16,217,7,4,0,0,0
Gaoxiong,135,PM2.5,28,2,52,98,590,53,12,29,0,0
Ciudad Juarez,82,O3,46,5,9,15,165,11,0,0,0,0
Anyang,152,PM2.5,4,6,59,138,2650,28,0,0,0,0
Kananga,41,PM2.5,20,1,10,33,70,16,0,0,0,0
Gwangju,73,PM2.5,52,4,17,38,531,13,0,0,0,0
Suqian,174,PM2.5,9,10,78,143,1039,42,0,0,0,0
Jining Shandong,92,PM2.5,29,1,36,61,271,49,4,21,0,0
Medina,89,PM2.5,8,7,33,62,210,32,0,0,0,0
Yekaterinburg,60,PM2.5,22,3,17,33,147,33,0,0,0,0
Abu Dhabi,66,PM2.5,33,3,22,67,159,35,0,0,0,0
Jodhpur,189,PM2.5,6,5,146,328,2576,52,489,523,13,0
Grande Sao Luis,33,O3,38,0,5,7,108,1,0,0,0,0
Edmonton,51,PM2.5,2,1,13,20,402,35,13,30,0,49
Natal,64,PM2.5,19,0,18,44,110,15,0,0,0,0
Ranchi,165,PM2.5,43,31,71,104,601,17,13,54,8,0
Kathmandu,157,PM2.5,10,2,75,238,1094,14,32,50,4,0
Jabalpur,162,PM2.5,31,5,88,212,786,19,2,20,0,0
Zhangjiakou,56,PM2.5,25,3,15,34,514,7,0,0,0,0
Huainan,70,PM2.5,4,0,24,42,557,34,12,44,0,0
Asansol,166,PM2.5,23,3,83,141,736,21,12,54,9,0
Chaozhou,149,PM2.5,49,2,55,84,251,19,2,7,0,0
Kota,165,PM2.5,4,4,90,124,332,32,10,26,2,0
San Diego,40,O3,41,0,11,34,124,16,1,3,0,0
Kharkiv,89,PM2.5,18,2,36,36,193,12,0,0,0,0
