city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Zigong,129,PM2.5,24,7,47,96,519,16,0,0,0,0
Merida,35,O3,30,1,6,11,185,8,0,0,0,0
Benxi,27,O3,32,0,1,1,121,0,0,0,0,0
Huaibei,76,PM2.5,20,3,29,79,199,34,1,11,0,0
Gaomi,128,PM2.5,4,5,47,135,1667,39,0,0,0,0
Anqing,97,PM2.5,12,2,39,71,271,29,0,15,0,0
Qingyuan,97,PM2.5,4,2,28,54,330,42,1,21,0,0
Banjarmasin,34,PM2.5,21,1,8,13,201,3,0,0,0,0
Hanchuan,57,PM10,48,0,13,60,200,19,1,9,0,0
Jinhua,62,PM2.5,22,0,18,46,210,26,2,14,0,0
Danyang,115,PM2.5,1,4,38,122,945,35,0,0,0,0
Xiangtan Hunan,50,PM2.5,27,1,11,18,196,3,1,6,0,0
Muzaffarnagar,347,PM2.5,22,3,277,368,1685,19,2,11,6,0
Kumamoto,67,PM2.5,8,1,22,50,100,51,8,27,0,127
Kottayam,102,PM2.5,3,1,36,54,812,19,34,49,0,0
Chandigarh,170,PM2.5,6,1,92,169,830,39,33,41,12,0
Belgaum,52,PM2.5,4,0,14,21,364,16,7,8,1,0
Jinzhou,58,PM2.5,16,0,18,45,332,23,6,26,0,0
Zarqa,71,PM2.5,22,5,21,49,367,17,5,20,1,0
Islamabad,108,PM2.5,7,3,33,49,851,18,17,35,0,0
Samara,108,PM2.5,7,3,33,49,851,18,17,35,0,0
Amsterdam,57,PM2.5,2,1,17,27,171,32,4,0,0,0
Sheffield,51,PM2.5,21,1,11,23,145,22,6,20,0,0
Da Nang,77,PM2.5,49,1,27,58,365,17,0,0,0,0
Haifa,52,PM2.5,27,1,14,16,643,16,7,21,1,0
Guilin,52,PM2.5,9,6,34,52,632,20,0,0,0,0
Krasnoyarsk,89,PM2.5,9,6,34,52,632,20,0,0,0,0
Mexicali,60,PM10,42,0,11,65,309,9,9,3,0,0
Ufa,67,PM2.5,17,1,24,35,136,24,0,0,0,0
Rostov-on-Don,92,PM2.5,16,2,27,37,195,22,0,0,0,0
Hubli-Dharwad,107,PM2.5,9,2,37,80,563,24,9,20,0,0
Guwahati,169,PM2.5,7,5,82,301,1150,2,12,13,0,0
Liupanshui,185,PM2.5,2,3,130,131,878,30,0,0,0,0
Quetta,65,PM2.5,34,1,19,30,332,5,0,0,0,0
Cologne,99,PM2.5,1,1,33,51,265,22,24,15,0,0
Aguascalientes,62,PM2.5,43,4,17,30,295,23,0,0,0,0
Binzhou,72,PM2.5,34,0,23,52,318,20,0,8,0,0
Shaoyang,129,PM2.5,4,3,48,70,556,12,0,0,0,0
Salem,45,PM2.5,30,0,12,29,453,18,1,21,0,0
Kayamkulam,129,PM2.5,4,3,48,70,556,12,0,0,0,0
Abomey-Calavi,45,PM2.5,30,0,12,29,453,18,1,21,0,0
Jiamusi,55,PM2.5,20,3,14,14,517,13,0,0,0,0
Mangalore,161,PM2.5,5,12,77,91,1274,43,4,72,1,0
Bandar Lampung,216,PM2.5,2,10,156,156,827,12,1,14,0,0
Okayama,67,PM2.5,30,2,21,51,387,42,1,12,0,118
Ribeirao Preto,74,PM2.5,24,1,27,44,400,32,0,0,0,0
Xianyang Shaanxi,74,PM2.5,24,1,27,44,400,32,0,0,0,0
Bunia,13,O3,15,0,2,3,75,0,0,0,0,0
Pizhou,117,PM2.5,7,8,39,63,378,53,0,0,0,0
Lviv,85,PM2.5,23,1,29,38,163,18,0,17,1,0
Tasikmalaya,82,PM2.5,10,0,23,37,253,15,0,0,0,0
Anqiu,144,PM2.5,3,5,54,134,1523,34,0,0,0,0
Tongliao,63,PM2.5,27,2,16,20,175,7,0,0,0,0
Cheongju,56,PM2.5,29,2,14,29,342,16,0,0,0,0
Yongin,67,PM2.5,27,3,16,35,467,50,0,0,0,0
Sialkot,167,PM2.5,23,6,83,153,600,10,6,30,1,0
