city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Jiangmen,88,PM2.5,61,3,33,66,511,19,0,0,0,0
Can Tho,69,PM2.5,29,2,19,31,376,8,0,0,0,0
Raipur,101,PM2.5,47,45,40,61,492,22,0,0,0,0
Varanasi,187,PM2.5,30,5,112,180,1366,32,3,43,0,0
Xiangyang,159,PM2.5,58,6,80,127,785,20,0,0,0,0
Izhevsk,30,PM2.5,22,1,7,8,139,9,0,0,0,0
Khulna,162,PM2.5,57,6,69,118,526,5,44,47,7,0
Glasgow,32,O3,40,0,6,13,133,5,0,2,0,0
Novosibirsk,32,O3,0,0,0,0,0,0,0,0,0,0
Memphis,54,PM2.5,12,1,12,26,144,14,0,0,0,0
Jamnagar,81,PM2.5,54,16,25,39,228,16,0,0,0,0
La Laguna,21,O3,17,0,5,8,112,9,0,0,0,0
Cixi,176,PM2.5,52,6,109,144,723,22,0,0,0,0
Erode,124,PM2.5,26,3,42,96,322,25,5,25,1,0
Doha,161,PM2.5,39,32,79,145,233,62,0,0,0,0
Stockholm,54,PM2.5,25,0,14,17,334,18,0,0,0,0
Anshan,28,NO2,16,3,5,15,896,30,133,10,0,0
Pachuca de Soto,52,PM2.5,16,0,13,24,176,12,0,0,0,0
Auckland,28,NO2,16,3,5,15,896,30,133,10,0,0
Haimen,72,PM2.5,80,5,23,58,434,9,0,0,0,0
Jerusalem,66,PM2.5,47,1,24,30,374,11,4,22,1,0
Jamshedpur,164,PM2.5,59,46,77,112,923,27,0,0,0,0
Chiclayo,24,PM2.5,19,0,6,9,76,1,0,0,0,0
Yinchuan,98,PM2.5,32,8,43,78,969,21,0,0,0,0
Wuhai,72,PM2.5,40,10,17,61,961,15,0,0,0,0
Cucuta,54,PM2.5,27,1,14,21,384,7,0,0,0,0
Hegang,59,PM2.5,30,4,18,31,395,10,0,0,0,0
Durango,23,O3,27,0,3,4,179,6,0,0,0,0
Ulaanbaatar,113,PM2.5,14,29,31,31,270,26,0,0,0,0
Bokaro Steel City,23,O3,27,0,3,4,179,6,0,0,0,0
Arequipa,27,PM2.5,14,1,7,11,227,10,0,0,0,0
Zamboanga City,52,PM2.5,21,0,9,20,85,11,0,0,0,0
Safaqis,121,PM2.5,22,92,48,101,145,60,0,0,0,0
Veracruz,45,PM2.5,20,2,12,20,177,4,0,0,0,0
Daejon,25,O3,32,0,7,11,157,11,5,13,0,0
Kuching,146,PM2.5,18,0,59,64,236,19,0,0,0,0
Yangjiang,35,PM2.5,29,1,8,15,211,6,4,7,0,0
Charlotte,54,PM2.5,0,0,12,24,509,30,14,37,0,0
Ulsan,47,O3,44,2,8,20,334,12,0,3,0,0
Oran,21,O3,26,0,2,3,153,2,1,4,0,0
Geneva,34,PM2.5,20,0,6,2,105,4,1,2,0,0
West Rand,80,PM2.5,4,0,28,82,416,23,8,12,0,0
Enshi,19,O3,24,0,3,4,91,5,2,7,0,0
Comilla,172,PM2.5,46,9,93,109,431,3,0,4,0,0
Mathura,195,PM2.5,23,4,121,189,1010,14,3,22,0,0
Bahawalpur,171,PM2.5,62,5,89,134,468,4,0,0,0,0
Tyumen,54,PM2.5,27,1,14,29,129,34,0,0,0,0
Qitaihe,17,PM2.5,18,0,3,4,114,18,0,0,0,0
Changde,109,PM2.5,70,5,35,74,428,10,0,0,0,0
Fuxin,123,PM2.5,12,13,49,93,751,35,0,0,0,0
Xingtai,128,PM2.5,54,3,45,73,256,21,1,13,0,0
Gaya,191,PM2.5,43,10,165,226,1487,51,1,40,2,0
Yongzhou,57,PM2.5,30,11,15,65,424,42,0,0,0,0
Baltimore,27,O3,31,0,5,10,126,6,0,3,0,0
Bologna,72,PM2.5,13,1,22,44,308,39,1,18,1,0
Matamoros,25,O3,31,1,3,12,139,3,0,0,0,0
Orenburg,81,PM2.5,26,1,25,48,125,30,0,0,0,0
Meknes,26,O3,37,1,4,6,113,1,0,0,0,0
Chiang Rai,102,PM2.5,19,1,37,68,370,20,0,0,0,0
Imus,80,PM2.5,16,1,27,27,210,34,0,0,0,0
Villavicencio,73,PM2.5,9,1,19,33,248,8,0,0,0,0
Sakarya,73,PM2.5,9,1,19,33,248,8,0,0,0,0
Shouguang,127,PM2.5,39,3,47,94,438,19,0,0,0,0
Sukkur,169,PM2.5,66,5,83,127,517,6,0,0,0,0
Rayong,169,PM2.5,66,5,83,127,517,6,0,0,0,0
Aracaju,58,PM2.5,19,1,14,30,97,9,0,0,0,0
Malegaon,136,PM2.5,43,2,51,85,415,18,1,7,3,0
Rotterdam,70,PM2.5,2,2,26,26,254,33,21,0,1,0
Kayamkulam,133,PM2.5,19,2,46,85,969,17,7,19,1,0
Jiamusi,118,PM2.5,13,3,45,47,1031,34,0,0,0,0
Mangalore,157,PM2.5,27,2,72,100,297,36,1,26,0,0
Sheikhupura,188,PM2.5,46,4,138,219,841,30,2,30,1,0
Changning,188,PM2.5,46,4,138,219,841,30,2,30,1,0
Cancun,38,O3,41,0,8,16,100,0,0,0,0,0
Tongliao,106,PM2.5,14,6,31,106,1135,31,0,0,0,0
Cuautla Morelos,69,PM2.5,12,1,19,28,923,25,0,0,0,0
Al-Mahallah al-Kubra,111,PM2.5,35,19,41,137,154,39,0,0,0,0
Bhavnagar,156,PM2.5,47,4,56,97,560,12,4,17,2,0
Loum,22,PM2.5,25,0,7,17,189,13,1,6,0,0
Gold Coast,63,PM2.5,25,1,26,28,67,17,0,0,0,0
Laixi,34,PM2.5,22,0,7,9,135,7,0,0,0,0
Yan'an,135,PM2.5,4,5,52,114,1443,51,0,0,0,0
Kakinada,157,PM2.5,51,7,69,103,644,10,2,11,1,0
Kitwe,135,PM2.5,4,5,52,114,1443,51,0,0,0,0
Rupganj,167,PM2.5,27,19,90,117,727,29,151,6,0,0
Penza,64,PM2.5,26,1,19,19,124,22,0,0,0,0
Florence,26,PM2.5,30,1,6,6,234,3,0,3,0,0
Utsunomiya,50,PM2.5,30,0,14,41,205,33,0,7,0,40
Jammu,38,PM2.5,27,0,15,31,170,7,1,7,0,0
Yulin Shaanxi,38,PM2.5,27,0,15,31,170,7,1,7,0,0
Porto Velho,46,PM2.5,11,1,8,12,165,2,0,0,0,0
Nanded Waghala,121,PM2.5,1,11,38,64,297,2,12,14,0,0
Davanagere,74,PM2.5,20,3,22,39,461,7,5,19,0,0
Qianjiang,121,PM2.5,56,5,40,88,772,25,0,0,0,0
Chuxiong,26,PM2.5,22,3,7,15,524,5,0,0,0,0
Songyuan,64,PM2.5,36,2,18,48,329,9,0,0,0,0
Muzaffarpur,178,PM2.5,36,2,99,112,936,24,3,15,1,0
Dazhou,62,PM2.5,2,1,23,33,563,25,0,57,0,0
Mataram,37,PM2.5,22,0,8,13,229,4,0,0,0,0
Tirupati,114,PM2.5,11,2,28,29,794,13,6,18,2,0
Kirov,51,PM2.5,15,3,13,32,142,30,0,0,0,0
Kuantan,130,PM2.5,25,0,53,56,205,11,0,0,0,0
The Hague,77,PM2.5,8,1,27,28,165,44,2,0,1,0
Longyan,86,PM2.5,16,3,24,42,461,50,0,0,0,0
Kandahar,21,O3,26,0,3,6,198,3,1,6,0,0
Yuncheng,173,PM2.5,64,6,104,144,552,14,0,0,0,0
Seville,80,PM2.5,3,2,28,32,440,29,20,34,0,0
Dongtai,79,PM2.5,33,2,21,51,510,15,0,0,0,0
Tolyatti,68,PM2.5,21,1,21,28,127,22,0,0,0,0
Bournemouth,35,PM2.5,21,0,9,9,122,10,4,6,0,0
Salta,16,PM2.5,16,1,4,5,148,1,0,0,0,0
Merca,156,PM2.5,49,72,67,202,142,47,0,0,0,0
Jinjiang,44,PM2.5,31,2,9,22,282,11,1,13,0,0
Bali,69,PM2.5,22,0,22,44,202,28,0,0,0,0
Yuyao,33,NO2,21,0,1,1,149,35,0,0,0,0
Khon-Kaen,86,PM2.5,40,2,31,88,462,10,0,0,0,0
Cheboksary,70,PM2.5,23,1,24,25,127,19,0,0,0,0
Boston,21,PM2.5,22,0,5,13,140,9,1,3,0,0
Uberlandia,51,PM2.5,34,0,19,21,116,6,0,0,0,0
Matsuyama,46,PM2.5,31,0,11,26,368,37,6,14,0,87
Taif,96,PM2.5,59,11,33,84,115,15,0,0,0,0
Tanta,46,PM2.5,31,0,11,26,368,37,6,14,0,87
Shuangyashan,112,PM2.5,36,3,40,52,453,10,0,0,0,0
Yuxi,49,PM2.5,19,3,12,16,466,11,0,0,0,0
Lipetsk,88,PM2.5,26,1,28,35,142,17,0,0,0,0
Bristol,19,O3,22,0,1,2,153,3,3,5,0,0
Changyi,48,O3,26,9,10,20,450,25,0,0,0,0
Celaya,35,PM2.5,12,6,9,15,820,3,0,0,0,0
Guang-an,32,PM2.5,28,1,8,20,69,2,0,0,0,0
Tirana,30,O3,34,1,4,5,133,2,0,0,0,0
Cheonan,68,PM2.5,5,3,21,25,306,29,5,11,0,0
Surat Thani,89,PM2.5,37,5,27,43,400,20,0,0,0,0
Jundiai,54,PM2.5,20,0,16,35,432,14,0,0,1,0
Gulbarga,178,PM10,39,11,45,483,179,26,7,30,0,0
Kansas City,37,PM10,23,1,7,34,180,14,1,8,0,0
Ubon Ratchathani,105,PM2.5,53,2,38,104,230,16,0,0,0,0
Padova,62,PM2.5,4,0,15,17,297,15,0,26,1,0
Durgapur,186,PM2.5,68,8,114,195,704,9,7,26,4,0
Kurnool,149,PM2.5,12,3,54,118,375,15,1,21,0,0
El Paso,49,PM10,25,0,10,57,100,10,2,4,0,0
Jianyang,111,PM2.5,26,2,38,62,441,13,0,0,0,0
Nantes,57,PM2.5,26,0,18,21,124,25,2,1,0,0
Buraydah,93,PM2.5,54,4,31,96,145,26,0,0,0,0
Zagreb,83,PM2.5,12,5,27,49,394,33,0,0,1,0
Zhangjiagang,47,PM2.5,31,0,12,16,127,16,1,6,0,0
Pontianak,44,PM2.5,28,0,12,18,236,4,0,0,0,0
Liege,51,PM2.5,19,0,13,30,165,18,10,2,0,0
Taicang,67,PM2.5,24,1,17,39,218,39,3,12,0,0
Nashville,70,PM2.5,21,1,20,42,178,21,0,0,0,0
Genoa,61,PM2.5,18,1,15,23,389,26,1,7,1,0
Ezhou,21,O3,27,1,5,26,252,7,0,3,0,0
Santiago,60,PM2.5,8,2,17,36,167,31,0,0,0,0
Mar Del Plata,17,O3,19,0,4,7,72,0,0,0,0,0
Zhoukou,126,PM2.5,52,6,48,98,842,17,0,0,0,0
Lodz,85,PM2.5,3,1,30,38,426,23,0,21,2,0
Goma,156,PM2.5,25,8,60,100,468,8,151,6,0,0
Oklahoma City,31,PM2.5,25,0,6,14,121,10,0,0,0,0
Las Vegas,57,PM2.5,7,2,15,64,695,40,100,0,0,0
Tabuk,152,PM2.5,42,2,63,97,104,14,0,0,0,0
Ankang,155,PM2.5,30,5,66,124,936,32,0,0,0,0
General Santos City,54,PM2.5,20,0,6,9,161,4,0,0,0,0
Renqiu,130,PM2.5,28,2,45,99,425,47,1,20,0,0
Detroit,42,PM2.5,3,2,13,42,282,21,0,0,0,0
Manama,152,PM2.5,64,41,57,112,234,55,0,0,0,0
Loudi,31,PM2.5,25,0,8,18,150,14,2,8,0,0
Jeonju,70,PM2.5,13,3,27,51,582,21,0,0,0,0
Bijie,115,PM2.5,33,8,42,90,609,15,0,0,0,0
Portland,53,PM2.5,2,1,10,21,407,13,11,20,0,0
Qinzhou,97,PM2.5,51,4,36,79,778,15,0,0,0,0
Macao,128,O3,89,4,40,79,554,26,0,0,0,0
Samsun,80,PM2.5,25,9,29,100,1138,26,0,0,0,0
Denizli,63,PM10,34,5,14,79,865,33,0,0,0,0
Zhoushan,73,PM2.5,19,1,22,24,171,8,0,0,0,0
Busto Arsizio,38,PM2.5,1,2,10,13,596,14,0,4,1,0
Tongxiang,52,PM2.5,32,1,9,14,230,8,2,11,0,0
Longhai,91,PM2.5,39,6,36,65,701,20,0,0,0,0
Puyang,32,PM2.5,25,0,7,12,108,4,0,0,0,0
Hezhou,29,PM2.5,22,0,6,17,129,14,0,0,0,0
Jhansi,164,PM2.5,44,20,88,145,388,23,1,7,0,0
Neijiang,129,PM2.5,22,1,45,76,521,21,0,0,0,0
