city,AQI,dominant pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Glasgow,45,NO2,24,1,12,21,170,48,57,98,0,0
Guiping,69,PM2.5,46,4,19,34,427,6,0,0,0,0
Jiujiang,85,PM2.5,22,5,30,63,676,25,0,0,0,0
Southampton,40,PM2.5,10,1,10,16,492,23,50,42,0,0
Shiraz,49,PM2.5,3,0,12,22,469,30,28,60,0,0
Laiwu,121,PM2.5,40,9,43,100,976,17,0,0,0,0
La Laguna,46,PM2.5,13,0,17,17,119,18,0,0,0,0
Arequipa,37,PM2.5,19,1,9,14,264,13,0,0,0,0
Cixi,114,PM2.5,36,4,39,96,668,15,0,0,0,0
Ciudad Guayana,18,PM2.5,10,0,4,7,102,1,0,0,0,0
Stockholm,45,PM2.5,17,0,9,24,410,35,0,0,0,0
Zamboanga City,35,PM2.5,22,0,6,19,84,10,0,0,0,0
Anshan,37,O3,40,0,2,8,92,4,0,0,0,0
Veracruz,38,PM2.5,27,1,9,15,168,5,0,0,0,0
Auckland,43,PM2.5,12,1,10,44,70,18,0,0,0,0
Jacksonville,40,PM2.5,18,1,9,44,400,20,0,0,0,0
Jamshedpur,167,PM2.5,64,31,82,118,779,26,0,0,0,0
Zhucheng,73,PM2.5,27,2,24,48,129,40,2,8,0,0
Yinchuan,119,PM2.5,25,6,46,85,794,38,0,0,0,0
Pathum Thani,82,PM2.5,24,2,20,59,507,27,0,0,0,0
Jilin,64,PM2.5,31,3,22,30,478,10,0,0,0,0
Rajshahi,137,PM2.5,38,4,48,69,357,16,0,0,0,0
Srinagar,162,PM2.5,62,7,74,122,516,14,2,9,0,0
Chengde,51,PM2.5,26,1,9,27,226,20,16,19,0,0
Batam,100,O3,80,14,6,30,420,14,0,0,0,0
Ulaanbaatar,163,PM2.5,18,27,38,38,270,21,0,0,0,0
Marseille,60,PM2.5,35,0,15,17,137,20,0,0,0,0
Guigang,88,PM2.5,16,2,28,66,258,31,3,15,0,0
Makassar,46,PM2.5,15,1,6,9,218,4,0,0,0,0
Yichang,61,PM2.5,54,2,13,31,315,9,0,0,0,0
Aurangabad,114,PM2.5,37,5,40,85,821,9,1,5,5,0
Reynosa,40,PM2.5,22,1,8,23,114,10,0,0,0,0
Bengbu,114,PM2.5,43,5,43,125,349,12,0,0,0,0
Columbus,41,PM2.5,30,1,10,38,101,15,0,0,0,0
Qinhuangdao,168,PM2.5,35,4,85,152,439,24,7,25,5,0
Villahermosa,53,PM2.5,22,2,13,19,156,1,0,0,0,0
Philadelphia,81,PM2.5,7,2,26,66,535,39,15,47,0,0
Yangjiang,38,PM2.5,25,2,10,28,198,11,5,16,0,0
Cordoba,44,PM2.5,9,0,11,16,124,1,0,0,0,0
Charlotte,73,PM2.5,10,0,23,36,653,28,0,18,0,0
Qiqihaer,48,PM2.5,23,11,12,28,328,9,0,0,0,0
Ulsan,73,PM2.5,40,1,24,46,407,18,0,5,0,0
Xining,28,PM2.5,15,0,7,9,149,2,0,0,0,0
Karaj,57,PM2.5,3,0,16,22,407,26,18,47,0,0
Bangui,73,PM2.5,0,0,0,0,0,0,0,0,0,0
San Antonio,55,PM2.5,25,0,13,26,312,11,0,3,0,0
Oran,33,PM2.5,12,1,9,22,378,19,20,44,0,0
Calgary,32,PM2.5,26,0,6,6,586,31,19,42,0,0
West Rand,87,PM2.5,5,0,28,55,272,31,11,17,0,0
Hengyang,105,PM2.5,52,8,33,59,527,12,0,0,0,0
Daejon,31,O3,31,0,5,12,123,14,10,11,0,0
Campo Grande,35,PM2.5,29,0,8,12,122,1,0,0,0,0
Liverpool,56,PM2.5,25,0,15,30,132,20,1,7,0,0
Antipolo,60,PM2.5,12,0,17,34,166,33,0,0,0,0
Zhangzhou,80,PM2.5,60,1,22,48,368,17,1,6,0,0
Bergamo,94,PM2.5,2,1,39,44,487,22,0,4,1,0
Donetsk,86,PM2.5,21,15,28,42,225,16,0,0,0,0
Tianmen,24,O3,18,0,5,5,175,16,2,18,2,0
Londrina,34,PM2.5,28,0,10,14,90,4,0,0,0,0
Leiyang,60,PM2.5,7,1,16,36,476,23,8,36,0,0
Monrovia,56,PM2.5,31,0,12,43,330,25,6,19,0,0
Malang,85,PM2.5,11,0,27,51,248,26,0,0,0,0
La Plata,37,PM2.5,13,1,6,17,94,9,0,0,0,0
Concepcion,40,PM2.5,4,1,9,18,340,6,0,0,0,0
Hengshui,107,PM2.5,35,5,38,86,350,16,0,0,0,0
Linfen,136,PM2.5,26,10,51,136,1592,34,0,0,0,0
Xinyu,63,PM2.5,27,1,18,42,119,41,4,14,0,0
Tiruppur,99,PM2.5,3,5,44,62,419,6,1,12,0,0
Sylhet,151,PM2.5,34,4,59,78,369,5,13,13,0,0
Rosario,41,PM2.5,19,1,13,20,138,6,0,0,0,0
Dandong,32,PM2.5,30,5,8,32,380,10,0,0,0,0
Indianapolis,44,PM2.5,33,1,10,45,228,20,0,0,0,0
Munich,80,PM2.5,10,1,29,29,343,18,37,0,0,0
Gaoxiong,116,PM2.5,26,2,40,84,486,41,5,21,0,0
Deyang,120,PM2.5,40,2,44,81,438,13,0,0,0,0
Hermosillo,25,PM2.5,23,0,7,11,151,6,0,0,0,0
Ciudad Juarez,39,PM2.5,30,4,9,15,175,12,0,0,0,0
San Francisco,25,PM2.5,23,0,7,11,151,6,0,0,0,0
Anyang,114,PM2.5,37,4,39,101,768,15,0,0,0,0
Trujillo,33,PM2.5,15,1,8,12,115,3,0,0,0,0
Kananga,42,PM2.5,18,1,12,31,92,30,0,0,0,0
Gwangju,77,PM2.5,44,4,23,63,553,19,0,0,0,0
Suqian,155,PM2.5,42,6,68,129,1077,32,0,0,0,0
Guntur,116,PM2.5,25,5,34,62,888,6,2,7,1,0
Jining Shandong,72,PM2.5,25,1,21,55,255,42,4,17,0,0
Jiangyin,109,PM2.5,46,6,37,78,621,13,0,0,0,0
Medina,88,PM2.5,50,4,23,94,125,21,0,0,0,0
Bhiwandi,169,PM2.5,20,5,88,173,753,32,17,34,4,0
Yekaterinburg,64,PM2.5,26,3,19,33,141,46,0,0,0,0
Abu Dhabi,70,PM2.5,46,1,23,51,128,30,0,0,0,0
Jodhpur,202,PM2.5,71,4,157,264,629,42,11,41,5,0
Liaoyang,45,PM2.5,28,6,11,34,472,12,0,0,0,0
Grande Sao Luis,26,PM2.5,23,0,6,9,87,1,0,0,0,0
Bahawalpur,172,PM2.5,73,7,95,150,571,4,0,0,0,0
Changzhi,86,PM2.5,32,3,25,73,524,12,0,0,0,0
Edmonton,51,PM2.5,8,0,9,11,204,12,1,11,0,0
Tyumen,86,PM2.5,32,3,25,73,524,12,0,0,0,0
Natal,59,PM2.5,19,0,15,38,96,10,0,0,0,0
Soshanguve,26,PM2.5,30,1,8,8,585,1,2,3,1,0
Tuxtla Gutierrez,56,PM2.5,20,0,14,20,194,2,0,0,0,0
Baishan,77,PM2.5,23,2,22,51,136,34,2,9,0,0
Ranchi,156,PM2.5,58,20,62,118,398,26,0,0,0,0
Liling,75,PM2.5,51,6,21,47,491,12,0,0,0,0
Kathmandu,161,PM2.5,38,3,62,80,501,6,0,0,0,0
Tainan,110,PM2.5,23,3,41,83,368,50,1,17,0,0
Jabalpur,70,PM10,46,5,16,95,987,25,2,27,0,0
Puducherry,81,PM2.5,15,1,29,56,734,21,4,11,2,0
Culiacan,42,PM2.5,10,0,10,15,269,9,0,0,0,0
Changde,97,PM2.5,56,3,33,46,255,6,0,0,0,0
Zhangjiakou,96,PM2.5,28,6,32,84,690,18,0,0,0,0
Fuxin,39,PM2.5,31,5,7,32,249,9,0,0,0,0
Huainan,65,PM2.5,3,0,20,33,408,34,19,48,0,0
Palermo,42,NO2,21,1,10,39,340,45,0,0,0,0
Asansol,164,PM2.5,90,7,83,128,917,15,10,40,7,0
Shangqiu,122,PM2.5,48,6,42,118,649,14,0,0,0,0
Chaozhou,120,PM2.5,46,3,45,86,263,26,1,10,0,0
Xingtai,125,PM2.5,47,4,45,91,317,34,2,17,0,0
Kota,151,PM2.5,105,36,13,22,445,24,17,20,3,0
Hufuf-Mubarraz,110,PM2.5,48,28,40,61,186,15,0,0,0,0
Firozabad,229,PM2.5,41,3,175,321,446,40,3,46,3,0
Huangshi,118,PM2.5,30,11,39,74,1659,26,0,0,0,0
Saratov,66,PM2.5,17,1,22,43,133,29,0,0,0,0
San Diego,61,PM2.5,5,0,16,48,717,36,6,30,0,0
Valencia,59,PM2.5,16,1,16,19,279,26,4,16,0,0
Luzhou,105,PM2.5,49,4,38,49,436,10,0,0,0,0
Quebec City,53,PM2.5,8,2,12,14,235,13,0,0,0,0
Yibin,130,PM2.5,51,5,48,70,422,10,0,0,0,0
Bucheon,66,PM2.5,32,2,17,64,349,19,0,0,0,0
Ipoh,137,PM2.5,34,0,51,76,281,13,0,0,0,0
Winnipeg,33,O3,36,0,3,4,134,1,0,0,0,0
Bogra,155,PM2.5,52,4,59,85,414,8,0,0,0,0
Chon Buri,114,PM2.5,67,4,44,80,616,28,0,0,0,0
Allahabad,186,PM2.5,15,5,124,166,819,18,2,12,0,0
Gwalior,54,PM2.5,61,4,9,18,492,2,2,2,2,0
Ottawa,54,PM2.5,18,1,12,21,207,18,0,0,0,0
Xinyang,78,PM2.5,55,4,22,55,213,11,0,0,0,0
Zurich,63,PM2.5,7,0,19,23,183,14,0,34,0,0
Belgrade,76,PM2.5,12,13,26,34,510,25,0,0,0,0
Xinghua,21,O3,26,1,5,6,480,3,2,6,0,0
Amritsar,154,PM2.5,16,5,62,167,463,25,3,14,1,0
Newcastle upon Tyne,20,NO2,13,0,6,7,129,21,8,30,0,0
Joao Pessoa,37,PM2.5,19,0,9,16,90,0,0,0,0,0
Yangquan,174,PM2.5,56,10,101,104,541,19,0,4,0,0
Yiwu,64,PM2.5,4,1,19,36,395,35,13,40,0,0
Thessaloniki,72,PM2.5,21,2,23,51,143,17,0,0,3,0
Yongzhou,58,PM10,34,15,14,72,375,40,0,0,0,0
Bologna,115,PM2.5,9,1,42,55,415,34,2,10,1,0
Xiaogan,102,PM2.5,26,2,30,69,368,51,3,17,0,0
Heze,153,PM2.5,53,6,70,124,524,20,0,0,0,0
Queretaro,74,PM2.5,4,6,19,52,1335,13,0,0,0,0
Barcelona-Puerto La Cruz,24,O3,26,0,6,13,283,15,9,24,1,0
Taian Shandong,73,PM2.5,25,2,24,55,188,38,7,19,0,0
Kuerle,71,PM2.5,27,2,20,54,197,9,0,0,0,0
Copenhagen,44,PM2.5,17,0,9,25,277,25,53,31,0,0
Niigata,51,PM2.5,45,0,13,46,300,25,1,4,0,20
Konya,58,PM2.5,14,8,18,44,443,35,0,0,0,0
Eskisehir,82,PM2.5,13,5,30,56,508,46,0,0,0,0
Bucaramanga,27,PM2.5,21,0,7,10,231,5,0,0,0,0
Cherthala,138,PM2.5,6,1,47,137,1053,24,40,58,0,0
Dhanbad,169,PM2.5,27,5,94,120,21,24,0,40,0,0
Quzhou,65,PM2.5,37,3,15,52,237,16,0,0,0,0
Weihai,78,PM2.5,33,2,20,71,433,12,0,0,0,0
Zhuji,56,PM2.5,1,0,16,28,459,41,26,59,0,0
Dallas,51,PM2.5,14,0,13,26,203,19,0,5,0,0
Sorocaba,56,PM2.5,1,0,16,28,459,41,26,59,0,0
Ganzhou,67,PM2.5,39,7,18,37,628,7,0,0,0,0
Haicheng,67,PM2.5,22,13,22,52,897,21,0,0,0,0
Adelaide,78,PM2.5,24,0,36,51,63,26,0,0,0,0
Hai Phong,71,PM2.5,39,15,21,40,367,16,0,0,0,0
Mombasa,61,PM2.5,42,2,19,32,125,1,0,0,0,0
Nottingham,52,PM2.5,20,1,15,22,151,33,75,107,0,0
Taizhong,86,PM2.5,8,2,27,65,328,56,6,26,0,0
Tianshui,113,PM2.5,52,4,38,107,614,18,0,0,0,0
Maceio,33,PM2.5,19,0,8,14,81,0,0,0,0,0
Huludao,72,PM2.5,43,2,22,68,458,10,3,12,1,0
Xalapa,51,PM2.5,15,1,12,17,228,4,0,0,0,0
Bikaner,121,PM2.5,62,5,45,71,236,3,0,0,0,0
Frankfurt,92,PM2.5,12,2,34,38,265,33,0,0,0,0
Huaihua,39,O3,39,1,7,12,148,0,0,0,0,0
Suweon,62,PM2.5,45,3,13,63,507,23,0,0,0,0
Nakhon Ratchasima,59,PM2.5,48,1,19,35,510,17,0,0,0,0
Samut Prakan,135,PM2.5,97,3,55,82,524,21,0,0,0,0
Vereeniging,55,PM2.5,10,12,15,32,264,37,7,18,0,0
Joinville,66,PM2.5,23,0,15,22,62,6,0,0,0,0
Liaocheng,136,PM2.5,29,8,57,134,703,25,0,0,0,0
Jiaxing,86,PM2.5,48,3,28,60,466,17,0,0,0,0
Seattle,63,PM2.5,2,0,19,53,625,35,19,44,0,0
Kaifeng,109,PM2.5,43,3,35,101,437,15,0,0,0,0
Jiaozuo,74,PM2.5,45,3,25,50,259,8,1,9,0,0
Helsinki,49,PM2.5,25,0,10,15,132,20,0,0,0,0
Bozhou,68,PM2.5,23,1,22,66,149,9,0,0,0,0
Porto,84,PM2.5,8,0,24,36,254,23,0,0,0,0
Nellore,123,PM2.5,20,2,37,84,600,29,5,13,1,0
Zhanjiang,101,PM2.5,65,7,41,65,540,10,0,0,0,0
Hamilton,80,PM2.5,2,1,27,45,656,32,6,32,0,0
Zunyi,75,PM2.5,39,3,23,37,510,10,0,0,0,0
Gebze,77,PM2.5,29,1,26,50,422,44,0,0,0,0
Rizhao,127,PM2.5,35,5,48,134,698,28,0,0,0,0
Taixing,110,PM2.5,38,5,40,83,623,22,0,0,0,0
Cagayan de Oro City,95,PM2.5,11,0,33,57,126,9,0,0,0,0
Krakow,154,PM2.5,3,3,60,87,622,27,0,109,2,0
Prague,75,PM2.5,11,3,26,61,434,64,26,46,0,0
Kunshan,104,PM2.5,43,4,40,67,524,23,0,0,0,0
Dongying,121,PM2.5,21,11,43,135,1154,45,0,0,0,0
Shaoguan,65,PM2.5,33,4,18,25,342,5,0,0,0,0
Qom,78,PM2.5,34,1,25,83,357,8,3,11,1,0
Gorakhpur,189,PM2.5,17,6,128,183,1458,11,2,0,0,0
Mianyang Sichuan,73,PM2.5,22,2,24,54,219,48,6,19,0,0
Dasmarinas,74,PM2.5,16,2,21,45,224,35,0,0,0,0
Nanchong,122,PM2.5,50,1,37,70,341,4,0,0,0,0
Amravati,142,PM2.5,42,9,48,89,346,24,8,22,0,0
Fushun Liaoning,122,PM2.5,50,1,37,70,341,4,0,0,0,0
Jincheng,99,PM2.5,68,4,32,64,272,29,1,6,0,0
Antalya,88,PM2.5,6,0,29,65,602,50,0,0,0,0
Bareilly,196,PM2.5,30,8,145,298,1296,27,2,15,0,0
Langfang,88,PM2.5,19,2,31,79,407,28,0,0,0,0
Sofia,65,PM2.5,17,5,17,26,692,22,10,0,0,0
Ansan,69,PM2.5,49,3,18,60,401,18,0,0,0,0
Shiyan,70,PM2.5,39,3,18,33,309,10,0,0,0,0
Ar-Rayyan,91,PM2.5,48,4,32,119,135,2,0,0,0,0
Kazan,40,PM2.5,24,1,9,14,132,14,0,0,0,0
Sulaimaniya,91,PM2.5,54,3,30,88,132,12,0,0,0,0
Ad-Dammam,133,PM2.5,47,27,49,81,187,43,0,0,0,0
Cuttack,166,PM2.5,72,11,82,120,590,9,0,0,0,0
Port Elizabeth,61,PM2.5,22,2,17,63,100,31,3,4,0,0
Bur Sa'id,40,PM2.5,7,1,10,17,556,26,53,44,0,0
Ahvaz,28,O3,29,0,4,5,107,1,0,0,0,0
Denver,51,PM2.5,15,0,11,25,276,29,0,10,0,0
Liuan,52,PM2.5,26,0,12,20,145,14,0,0,0,0
Meishan,121,PM2.5,19,3,45,94,276,40,3,18,0,0
Florianopolis,56,PM2.5,24,0,14,25,59,9,0,0,0,0
Zhumadian,97,PM2.5,54,5,33,78,320,7,0,0,0,0
Nizhniy Novgorod,56,PM2.5,25,1,15,46,132,26,0,0,0,0
Zigong,121,PM2.5,55,2,48,76,344,11,0,0,0,0
Yingkou,82,PM2.5,24,11,29,57,1238,23,0,0,0,0
Gaomi,121,PM2.5,34,5,45,104,589,25,0,0,0,0
Fes,31,O3,37,1,5,7,118,1,0,0,0,0
Anqing,98,PM2.5,23,3,32,109,360,32,1,17,0,0
Aligarh,228,PM2.5,56,5,146,254,878,30,3,22,1,0
Qingyuan,90,PM2.5,25,3,32,58,404,48,1,22,0,0
Liuyang,61,PM2.5,3,0,18,34,410,32,21,50,0,0
Banjarmasin,27,PM2.5,16,1,7,11,219,5,0,0,0,0
Dublin,69,PM2.5,19,2,20,36,296,24,10,12,0,0
Maoming,72,PM2.5,21,1,21,25,228,6,2,0,0,0
Tanger,30,PM2.5,27,1,8,11,342,5,2,8,0,0
Pekan Baru,64,PM2.5,39,1,17,25,323,7,0,0,0,0
Tengzhou,116,PM2.5,49,9,40,121,596,24,0,0,0,0
San Luis Potosi,67,PM2.5,12,4,17,28,486,16,0,0,0,0
Mysore,93,PM2.5,37,2,31,82,359,43,5,19,4,0
Chelyabinsk,68,PM2.5,22,2,19,32,144,32,0,0,0,0
Moradabad,212,PM2.5,20,8,153,306,1503,39,2,16,0,0
Barquisimeto,24,PM2.5,17,1,5,8,162,4,0,0,0,0
Durg-Bhilainagar,120,PM2.5,43,12,35,68,211,11,9,31,0,0
Suzhou,72,PM2.5,14,1,24,50,197,27,0,0,0,0
Maracay,37,PM2.5,5,4,9,12,346,13,0,0,0,0
Hanchuan,61,PM10,4,0,15,70,940,60,24,70,0,0
Zhuzhou,106,PM2.5,52,6,33,59,437,23,0,0,0,0
Ruian,59,PM2.5,6,1,14,21,218,5,0,1,0,0
Danyang,104,PM2.5,41,5,38,77,630,22,0,0,0,0
Zhenjiang Jiangsu,143,PM2.5,31,7,44,115,827,58,0,0,0,0
Muzaffarnagar,211,PM2.5,73,8,156,280,952,13,2,8,3,0
Baoji,107,PM2.5,41,3,38,60,481,18,0,0,0,0
Jieyang,36,PM2.5,18,1,11,16,430,31,24,30,0,0
Chifeng,41,PM2.5,35,3,6,17,349,13,0,0,0,0
Kumamoto,65,PM2.5,49,1,21,46,100,40,3,11,0,54
Bhubaneswar,172,PM2.5,72,9,93,142,581,39,0,0,0,0
Kottayam,122,PM2.5,6,1,39,137,1000,28,36,62,0,0
Pingdingshan Henan,172,PM2.5,72,9,93,142,581,39,0,0,0,0
Puning,53,PM2.5,21,3,14,25,183,9,0,0,0,0
Belgaum,86,PM2.5,3,1,31,38,385,13,60,0,1,0
Mendoza,59,PM2.5,15,1,17,29,184,20,0,0,0,0
Zarqa,82,PM10,41,5,26,138,290,15,19,32,1,0
Bogor,107,PM2.5,23,1,45,88,868,46,0,0,0,0
Chiang Mai,60,PM2.5,55,1,16,34,1610,5,0,0,0,0
Sheffield,20,PM2.5,20,1,7,11,139,20,28,52,0,0
Gaza,70,PM2.5,50,1,22,44,446,5,1,7,1,0
Zaragoza,35,PM2.5,15,1,12,17,210,16,6,22,0,0
Linhai,73,PM2.5,46,3,24,52,298,15,0,0,0,0
Merida,34,O3,37,1,5,9,141,2,0,0,0,0
Benxi,28,PM2.5,14,0,6,6,132,1,0,0,0,0
Zaporizhzhya,73,PM2.5,15,22,21,38,641,27,0,0,0,0
Malegaon,145,PM2.5,42,3,49,89,518,17,2,7,3,0
Huaibei,99,PM2.5,11,3,38,91,298,56,3,27,0,0
Sao Jose dos Campos,71,PM2.5,20,0,26,26,101,14,0,0,0,0
Jinhua,62,PM2.5,4,1,16,24,391,22,7,29,0,0
Xiangtan Hunan,46,PM2.5,35,1,12,23,201,3,1,6,0,0
Shaoyang,111,PM2.5,49,5,34,57,302,12,0,0,0,0
Kayamkulam,143,PM2.5,3,1,52,228,859,52,31,110,1,0
Jiamusi,75,PM2.5,18,2,25,30,602,18,0,0,0,0
Mangalore,75,PM2.5,18,2,25,30,602,18,0,0,0,0
Okayama,64,PM2.5,36,3,19,51,395,47,2,14,0,66
Chandigarh,156,PM2.5,43,4,64,152,600,35,6,17,6,0
Ribeirao Preto,54,PM2.5,33,1,14,28,158,8,0,0,0,0
Xianyang Shaanxi,54,PM2.5,33,1,14,28,158,8,0,0,0,0
Jinzhou,58,PM2.5,2,1,17,43,439,36,23,52,0,0
Bunia,54,PM2.5,33,1,14,28,158,8,0,0,0,0
Islamabad,134,PM2.5,61,6,44,87,697,20,17,36,0,0
Lviv,80,PM2.5,31,2,21,36,163,28,0,19,2,0
Samara,68,PM2.5,20,1,22,44,138,28,0,0,0,0
Amsterdam,104,PM2.5,7,1,38,46,165,28,20,0,0,0
Da Nang,91,PM2.5,63,2,32,59,313,37,0,0,0,0
Anqiu,126,PM2.5,32,6,43,105,643,24,0,0,0,0
Haifa,80,PM2.5,35,1,28,50,446,16,9,22,1,0
Tongliao,52,PM2.5,35,2,13,21,523,10,0,0,0,0
Guilin,86,PM2.5,45,4,26,46,293,8,0,0,0,0
Cheongju,68,PM2.5,42,3,19,64,325,12,0,0,0,0
Sialkot,156,PM2.5,75,6,67,116,561,7,17,36,0,0
Maturin,44,PM2.5,20,0,12,18,101,1,0,0,0,0
Mexicali,58,PM10,28,0,9,83,328,12,10,6,0,0
Buffalo City,83,PM2.5,21,0,32,61,56,34,0,0,0,0
Ufa,63,PM2.5,29,2,18,34,132,39,0,0,0,0
Rostov-on-Don,84,PM2.5,21,7,25,37,262,32,0,0,0,0
Hubli-Dharwad,107,PM2.5,16,2,39,121,655,27,11,16,0,0
Guwahati,172,PM2.5,9,5,99,115,463,17,13,13,0,0
Kaduna,172,PM2.5,9,5,99,115,463,17,13,13,0,0
Yanji,34,PM2.5,28,10,8,25,349,11,0,0,0,0
Tongling,98,PM2.5,24,2,32,50,301,20,3,17,0,0
Wuzhou,83,PM2.5,42,5,24,46,611,7,0,0,0,0
Liupanshui,143,PM2.5,47,3,56,118,482,17,0,0,0,0
Oaxaca de Juarez,30,PM2.5,27,0,6,9,147,1,0,0,0,0
Quetta,51,PM2.5,56,1,11,22,130,1,0,0,0,0
Washington,62,PM2.5,10,1,17,35,430,37,107,143,0,0
Cologne,89,PM2.5,3,4,32,56,362,32,35,0,0,0
Sargodha,170,PM2.5,70,9,87,128,496,6,0,0,0,0
Aguascalientes,42,PM2.5,16,4,8,22,200,4,0,0,0,0
Bhavnagar,142,PM2.5,68,6,44,81,213,11,0,0,4,0
Binzhou,81,PM2.5,21,0,26,42,401,27,22,40,0,0
Gold Coast,46,PM2.5,12,1,8,25,64,28,0,0,0,0
Salem,25,PM2.5,22,0,4,11,311,8,1,23,0,0
Yan'an,80,PM2.5,33,2,24,44,400,19,0,0,0,0
Florence,80,PM2.5,4,1,26,44,736,29,9,37,0,0
Jammu,51,PM2.5,4,1,11,26,480,24,34,61,0,0
Bandar Lampung,173,PM2.5,56,10,101,104,515,17,0,4,0,0
Yulin Shaanxi,51,PM2.5,4,1,11,26,480,24,34,61,0,0
Nanded Waghala,97,PM2.5,4,12,35,79,340,4,10,14,0,0
Dazhou,79,PM2.5,6,0,26,43,577,22,5,23,0,0
Pizhou,118,PM2.5,39,3,35,69,176,42,0,0,0,0
Tirupati,76,PM2.5,7,1,16,39,811,14,6,15,1,0
Bacoor,65,PM2.5,15,1,24,24,225,22,0,0,0,0
Tasikmalaya,72,PM2.5,10,0,24,47,173,17,0,0,0,0
Dengzhou,91,PM2.5,41,3,28,59,563,12,0,0,0,0
The Hague,71,PM2.5,24,0,14,34,143,31,12,0,1,0
Yongin,73,PM2.5,47,2,20,60,407,20,0,0,0,0
Longyan,121,PM2.5,61,8,46,70,503,43,0,0,0,0
Zaozhuang,121,PM2.5,49,11,46,131,698,23,0,0,0,0
Yuncheng,126,PM2.5,43,11,49,95,671,22,0,0,0,0
Seville,126,PM2.5,43,11,49,95,671,22,0,0,0,0
Xinxiang,123,PM2.5,42,6,42,110,991,16,0,0,0,0
Cotonou,126,PM2.5,43,11,49,95,671,22,0,0,0,0
Yueqing,69,PM2.5,23,1,22,56,309,37,27,28,0,0
Dongtai,114,PM2.5,45,6,39,84,670,16,0,0,0,0
Luohe,69,PM2.5,23,1,22,56,309,37,27,28,0,0
Saharanpur,189,PM2.5,23,4,91,149,403,25,1,6,3,0
Tolyatti,65,PM2.5,19,1,23,31,133,21,0,0,0,0
Salta,25,PM2.5,13,0,6,8,196,2,0,0,0,0
Merca,106,PM2.5,25,57,39,124,132,43,0,0,0,0
Bali,57,PM2.5,19,0,16,34,145,26,0,0,0,0
Cuernavaca,79,PM2.5,3,2,25,36,2135,35,0,0,0,0
Yuyao,38,NO2,28,0,1,1,132,41,0,0,0,0
Yerevan,40,PM2.5,27,7,11,25,525,5,0,0,0,0
Boston,31,PM2.5,21,0,7,28,323,20,5,21,0,0
Goyang,81,PM2.5,37,3,28,80,416,25,0,0,0,0
Uberlandia,31,PM2.5,37,1,7,11,110,1,0,0,0,0
Tbilisi,19,O3,30,0,4,8,168,2,0,0,0,0
Taif,127,PM2.5,50,26,44,91,121,20,0,0,0,0
Chihuahua,20,PM2.5,11,1,5,8,227,10,0,0,0,0
Yuxi,36,PM2.5,32,2,6,18,572,5,0,0,0,0
Panjin,25,O3,27,1,4,19,125,5,0,0,0,0
Perm,59,PM2.5,32,2,16,32,134,35,0,0,0,0
Bristol,21,O3,20,1,5,11,287,9,5,14,0,0
Jalandhar,157,PM2.5,39,2,61,140,1074,32,10,27,1,0
Voronezh,69,PM2.5,21,2,19,32,165,21,0,0,0,0
Celaya,69,PM2.5,4,6,18,44,1027,13,0,0,0,0
Cartagena,39,PM2.5,30,5,12,25,126,7,0,0,0,0
Wenling,79,PM2.5,47,2,25,54,315,14,0,0,0,0
Cheonan,99,PM2.5,2,2,32,42,897,25,3,6,1,0
Lille,136,PM2.5,9,0,53,72,339,30,38,0,1,0
Jundiai,54,PM2.5,18,1,14,21,502,13,0,0,2,0
Fuyang,121,PM2.5,48,5,45,125,524,13,0,0,0,0
Gulbarga,102,PM2.5,38,6,40,71,382,14,7,19,0,0
Diyarbakir,87,PM2.5,4,4,33,62,382,28,0,0,0,0
Padova,55,PM2.5,4,0,14,15,250,13,0,15,1,0
Bazhong,104,PM2.5,33,1,33,52,441,10,0,0,0,0
Durgapur,189,PM2.5,90,15,131,277,908,9,7,27,7,0
Siliguri,153,PM2.5,32,1,58,139,428,24,8,25,4,0
Kurnool,115,PM2.5,14,3,43,107,373,16,1,22,0,0
Oslo,39,NO2,11,1,12,27,365,42,83,109,0,0
El Paso,63,PM10,8,0,9,89,200,26,3,17,0,0
Shangrao,40,PM2.5,30,0,10,18,142,1,0,0,0,0
Changwon,66,PM2.5,47,3,18,37,319,12,0,5,0,0
Jingzhou Hubei,66,PM2.5,47,3,18,37,319,12,0,5,0,0
Ma'anshan,20,O3,20,0,2,3,59,0,0,0,0,0
Zhaoqing,61,PM2.5,47,4,17,37,426,18,0,0,0,0
Antwerp,110,PM2.5,1,1,40,50,348,17,75,0,1,0
Nantes,78,PM2.5,28,0,25,42,154,23,0,0,0,0
Xiongan,61,PM2.5,3,0,18,36,419,34,21,51,0,0
Buraydah,120,PM2.5,48,3,45,137,135,32,0,0,0,0
Bien Hoa,98,PM2.5,43,6,37,39,420,15,0,0,0,0
Zagreb,151,PM2.5,13,7,55,83,588,49,0,0,3,0
Johor Bahru,137,PM2.5,34,7,44,75,418,38,0,0,0,0
Solapur,110,PM2.5,30,4,46,87,433,23,5,14,1,0
