city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Mosul,155,PM2.5,25,81,84,121,884,45,0,0,0,0
Basra,55,PM2.5,24,1,16,31,83,1,0,0,0,0
Cancun,35,PM2.5,34,0,9,17,86,0,0,0,0,0
Jixi Heilongjiang,60,PM2.5,31,1,14,27,309,16,0,0,0,0
Morelia,80,PM2.5,12,6,27,52,1124,8,0,0,0,0
Zamboanga City,64,PM2.5,38,0,22,25,116,11,0,0,0,0
Quebec City,24,PM2.5,27,1,5,5,152,3,0,0,0,0
Budapest,91,PM2.5,2,2,30,33,270,29,0,23,1,0
Madurai,120,PM2.5,23,3,45,74,333,24,4,11,0,0
Quanzhou,41,O3,46,3,8,27,175,6,1,6,0,0
Palembang,81,PM2.5,21,0,27,46,256,32,0,0,0,0
Santa Cruz,66,PM2.5,3,1,16,28,558,25,7,24,0,0
Gaziantep,151,PM2.5,17,15,46,85,1167,43,0,0,0,0
Sharjah,121,PM2.5,55,5,39,79,215,54,0,0,0,0
Phoenix,85,PM2.5,13,0,26,58,392,29,2,0,0,0
Lyon,60,PM2.5,5,2,20,26,183,32,28,5,0,0
Meerut,162,PM2.5,19,5,61,158,174,45,6,30,1,0
Jiangmen,75,PM2.5,54,3,26,48,577,23,0,0,0,0
Can Tho,77,PM2.5,15,3,28,42,556,24,0,0,0,0
Raipur,155,PM2.5,25,81,84,121,884,45,0,0,0,0
Glasgow,38,PM2.5,38,0,10,18,133,10,0,0,0,0
Stockholm,58,PM2.5,14,1,17,44,348,41,0,0,0,0
Auckland,42,PM2.5,11,0,9,46,72,13,0,0,0,0
Jamshedpur,83,PM2.5,22,12,30,46,436,16,12,23,2,0
Yinchuan,47,PM2.5,34,2,14,20,405,14,0,0,0,0
Jilin,57,PM2.5,19,3,19,31,627,19,0,0,0,0
Srinagar,106,PM2.5,41,2,35,66,250,13,2,10,2,0
Batam,85,PM2.5,39,4,31,105,303,25,0,0,0,0
Ulaanbaatar,148,PM2.5,8,56,43,58,564,30,0,0,0,0
Marseille,56,PM2.5,10,1,14,24,170,29,0,24,1,0
Makassar,85,PM2.5,23,1,26,42,435,22,0,0,0,0
Aurangabad,157,PM2.5,55,8,59,86,707,8,1,4,5,0
Philadelphia,44,PM10,20,0,11,53,326,25,1,19,0,0
Qiqihaer,39,PM2.5,13,7,8,28,450,13,0,0,0,0
Xining,20,PM2.5,15,0,5,8,161,1,0,0,0,0
San Antonio,46,PM2.5,9,0,11,43,0,13,1,4,0,0
Calgary,33,NO2,5,0,6,17,368,36,30,59,0,0
Daejon,26,O3,28,0,6,13,150,17,8,18,0,0
Monrovia,95,PM2.5,3,0,27,38,838,31,16,40,0,0
Tiruppur,71,PM2.5,15,2,20,32,273,7,5,13,0,0
Munich,61,PM2.5,6,1,17,17,263,10,49,0,0,0
Ciudad Juarez,51,PM2.5,39,8,11,17,221,19,0,0,0,0
Kananga,53,PM2.5,35,1,13,38,134,19,0,0,0,0
Gwangju,65,PM2.5,30,3,22,38,628,25,0,0,0,0
Suqian,158,PM2.5,35,5,71,108,684,23,0,0,0,0
Yekaterinburg,57,PM2.5,22,3,15,30,143,42,0,0,0,0
Abu Dhabi,79,PM2.5,54,1,24,66,149,34,0,0,0,0
Jodhpur,159,PM2.5,45,2,60,118,550,28,17,35,4,0
Edmonton,40,PM2.5,5,0,10,35,396,20,3,21,1,0
Ranchi,151,PM2.5,27,10,61,92,328,42,6,10,2,0
Kathmandu,80,PM2.5,17,2,24,45,573,11,3,5,1,0
Jabalpur,161,PM2.5,49,14,56,161,1231,34,4,38,0,0
Asansol,84,PM2.5,32,3,33,50,376,3,14,23,2,0
San Diego,108,PM2.5,6,0,38,67,573,44,0,0,0,0
Kharkiv,84,PM2.5,20,4,29,43,200,28,0,0,0,0
Allahabad,166,PM2.5,14,5,73,136,723,21,2,12,0,0
Gwalior,125,PM2.5,36,3,33,54,399,2,1,2,2,0
Ottawa,32,PM2.5,24,0,8,16,167,16,0,0,0,0
Zurich,37,PM2.5,11,0,8,12,722,16,8,5,0,0
Belgrade,75,PM2.5,6,11,25,26,618,21,0,0,0,0
Amritsar,153,PM2.5,9,4,49,111,707,23,7,24,1,0
Joao Pessoa,55,PM2.5,24,1,16,31,83,1,0,0,0,0
Queretaro,99,PM2.5,2,6,35,65,1405,5,0,0,0,0
Taian Shandong,76,PM2.5,27,2,24,40,213,33,10,18,0,0
Copenhagen,58,PM2.5,8,0,16,37,234,23,65,45,0,0
Konya,167,PM2.5,36,5,72,106,318,26,0,0,0,0
Dhanbad,117,PM2.5,32,4,47,73,375,35,14,22,2,0
Dallas,44,PM2.5,9,0,11,24,101,18,0,6,0,0
Ganzhou,72,PM2.5,55,2,22,45,855,9,0,0,0,0
Adelaide,42,PM2.5,18,0,11,37,68,26,0,0,0,0
Hai Phong,83,PM2.5,40,16,28,39,458,21,0,0,0,0
Mombasa,85,PM2.5,69,6,31,48,226,4,0,0,0,0
Jiaxing,91,PM2.5,50,4,25,56,669,27,0,0,0,0
Helsinki,66,PM2.5,19,1,23,23,182,22,0,0,1,0
Porto,82,PM2.5,7,0,29,41,366,33,0,0,0,0
Zhanjiang,77,PM2.5,62,3,28,45,378,9,0,0,0,0
Prague,99,PM2.5,6,1,39,69,497,58,27,30,0,0
Dongying,52,PM2.5,30,3,9,27,508,8,0,0,0,0
Mianyang Sichuan,70,PM2.5,24,2,21,49,242,44,10,18,0,0
Nanchong,167,PM2.5,21,1,90,101,690,11,0,0,0,0
Fushun Liaoning,167,PM2.5,21,1,90,101,690,11,0,0,0,0
