city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
Budapest,89,PM2.5,7,1,32,49,303,40,0,33,1,0
Madurai,161,PM2.5,7,3,73,121,440,31,3,8,0,0
Quanzhou,68,O3,58,3,17,33,262,6,1,11,0,0
Palembang,79,PM2.5,18,0,24,40,210,23,0,0,0,0
Santa Cruz,63,PM2.5,2,0,19,37,474,45,10,25,0,50
Gaziantep,169,PM2.5,3,56,101,155,2284,90,0,0,0,0
Sharjah,121,PM2.5,22,4,49,64,242,64,0,0,0,0
Phoenix,83,PM2.5,12,0,31,119,422,43,4,0,0,0
Lyon,65,PM2.5,25,1,15,37,143,40,5,25,0,0
Meerut,189,PM2.5,9,3,134,280,1401,59,5,33,0,0
Jiangmen,115,PM2.5,2,4,40,122,1129,59,0,0,0,0
Can Tho,89,PM2.5,6,5,25,36,1063,29,0,0,0,0
Raipur,181,PM2.5,7,58,134,193,1179,41,0,0,0,0
Glasgow,42,PM2.5,26,1,11,13,163,18,1,10,0,0
Stockholm,74,PM2.5,1,1,25,42,548,70,0,0,0,0
Auckland,38,PM10,12,0,8,45,67,13,0,0,0,0
Jamshedpur,163,PM2.5,6,43,86,164,1994,33,25,81,6,0
Yinchuan,127,PM2.5,2,1,47,111,1305,29,0,0,0,0
Jilin,81,PM2.5,16,4,25,35,663,15,0,0,0,0
Srinagar,123,PM2.5,25,2,46,80,538,13,4,24,2,0
Batam,59,PM2.5,39,2,14,15,158,8,0,0,0,0
Ulaanbaatar,348,PM2.5,5,98,284,284,726,35,0,0,0,0
Marseille,60,PM2.5,29,1,16,31,276,41,16,38,0,0
Makassar,39,PM2.5,26,2,8,13,324,4,0,0,0,0
Aurangabad,156,PM2.5,46,8,63,91,502,3,0,0,0,0
Philadelphia,76,PM2.5,23,1,25,40,216,19,7,17,0,0
Qiqihaer,97,PM2.5,5,19,34,68,607,23,0,0,0,0
Xining,36,O3,40,0,3,5,109,0,0,0,0,0
San Antonio,46,PM10,22,0,10,56,0,22,6,16,0,0
Calgary,74,NO2,3,1,32,32,807,76,138,194,0,0
Daejon,28,O3,32,0,6,15,140,21,31,53,0,0
Monrovia,84,PM2.5,10,0,30,61,492,35,4,25,0,50
Tiruppur,96,PM2.5,11,4,22,40,389,8,5,14,0,0
Munich,31,PM2.5,10,1,9,23,441,33,38,0,1,0
Ciudad Juarez,55,O3,92,6,13,20,207,5,0,0,0,0
Kananga,35,PM2.5,30,1,8,31,108,16,0,0,0,0
Gwangju,155,PM2.5,10,3,64,78,882,31,0,0,0,0
Suqian,76,PM2.5,23,3,21,25,351,15,0,0,0,0
Yekaterinburg,55,PM2.5,31,1,14,28,130,37,0,0,0,0
Abu Dhabi,70,PM2.5,52,2,18,49,144,34,0,0,0,0
Jodhpur,153,PM2.5,7,3,61,213,1218,51,60,95,9,0
Edmonton,78,PM2.5,4,1,26,99,694,46,27,62,1,10
Ranchi,159,PM2.5,11,21,77,119,713,46,21,97,6,0
Kathmandu,155,PM2.5,2,3,61,69,1387,26,0,0,0,0
Jabalpur,184,PM2.5,11,10,124,318,2410,46,13,58,0,0
Asansol,146,PM2.5,10,66,57,124,1170,37,21,96,6,0
Kota,158,PM2.5,7,5,72,110,603,31,9,41,2,0
San Diego,57,PM2.5,28,0,15,43,279,24,1,12,0,0
Kharkiv,100,PM2.5,13,5,38,51,240,32,0,0,0,0
Allahabad,147,PM2.5,3,5,58,81,1021,41,3,32,74,0
Gwalior,125,PM2.5,3,13,49,87,2260,6,21,22,3,0
Ottawa,40,PM2.5,27,0,11,21,139,12,0,0,0,0
Zurich,17,NO2,15,0,4,10,225,19,3,8,0,0
Belgrade,96,PM2.5,4,11,33,34,651,32,0,0,0,0
Amritsar,133,PM2.5,6,7,48,127,668,13,7,17,1,0
Joao Pessoa,54,PM2.5,23,0,13,24,95,1,0,0,0,0
Queretaro,102,PM2.5,42,13,33,107,1180,7,0,0,0,0
Taian Shandong,57,PM2.5,43,2,12,31,228,10,1,12,0,0
Copenhagen,69,PM2.5,19,0,20,40,307,19,29,16,0,0
Konya,94,PM10,13,13,28,166,108,29,0,0,0,0
Dhanbad,152,PM2.5,10,62,58,133,1170,35,22,93,6,0
Dallas,46,PM2.5,17,1,13,37,103,23,5,13,0,0
Ganzhou,103,PM2.5,12,3,43,80,1015,32,0,0,0,0
Adelaide,24,PM2.5,16,0,6,12,51,1,0,0,0,0
Hai Phong,94,PM2.5,29,14,34,42,464,18,0,0,0,0
Mombasa,52,PM2.5,18,1,13,22,118,1,0,0,0,0
Jiaxing,124,PM2.5,20,3,40,93,777,29,0,0,0,0
Helsinki,77,PM2.5,1,0,23,59,275,49,0,0,1,0
Porto,52,PM2.5,31,2,11,36,193,29,0,0,0,0
Zhanjiang,106,PM2.5,47,3,41,51,458,11,0,0,0,0
Prague,111,PM2.5,3,1,38,64,647,43,47,68,2,0
Dongying,78,PM2.5,3,5,30,57,692,33,0,0,0,0
Mianyang Sichuan,89,PM2.5,43,2,33,62,216,42,1,9,0,0
Nanchong,110,PM2.5,29,1,38,50,388,3,0,0,0,0
Fushun Liaoning,110,PM2.5,29,1,38,50,388,3,0,0,0,0
Antalya,93,PM2.5,17,3,34,52,267,41,0,0,0,0
Bareilly,161,PM2.5,10,8,86,168,619,30,18,61,0,0
Kazan,26,PM2.5,23,2,4,6,142,4,0,0,0,0
Ad-Dammam,155,PM2.5,10,57,64,142,325,90,0,0,0,0
Port Elizabeth,61,PM2.5,18,2,20,44,100,28,4,6,0,0
Ahvaz,23,O3,28,0,4,11,106,1,0,0,0,0
Florianopolis,66,PM2.5,19,1,19,37,56,21,0,0,0,0
Nizhniy Novgorod,53,PM2.5,22,1,12,24,141,28,0,0,0,0
