,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Munich
6,Ciudad Juarez
7,Edmonton
8,Tegucigalpa
9,Onitsha
10,N-Djamena
11,Ranchi
12,Jabalpur
13,Mandalay
14,Basra
15,Taizhou Jiangsu
16,Nouakchott
17,Homs
18,Mombasa
19,Cochabamba
20,Niamey
21,Jiaxing
22,Helsinki
23,Porto
24,Zhanjiang
25,Kisangani
26,Prague
27,Nanchong
28,Antalya
29,Port Elizabeth
30,Ahvaz
31,Pointe-Noire
32,Freetown
33,Astana
34,Uyo
35,Mwanza
36,Omsk
37,Lilongwe
38,Nanyang Henan
39,Kigali
40,Tripoli
41,Krasnoyarsk
42,Kaduna
43,Bukavu
44,Maputo
45,San Salvador
46,Shimkent
47,Bujumbura
48,Managua
49,Bishkek
50,Oslo
51,Solapur
52,Hargeysa
53,Teresina
54,Asmara
55,Padang
56,Warangal
57,Changshu
58,Yichun Jiangxi
59,Krasnodar
60,Ilorin
61,Cancun
62,Blantyre-Limbe
63,Dushanbe
64,Misratah
65,Bangui
66,Owerri
67,Nampula
68,Lubango
69,Ashgabat
70,Libreville
71,Banghazi
