,URL
0,Budapest
1,Madurai
2,Quanzhou
3,Palembang
4,Gaziantep
5,Phoenix
6,Lyon
7,Meerut
8,Novosibirsk
9,Tabriz
10,Muscat
11,Harare
12,Tegucigalpa
13,Onitsha
14,N-Djamena
15,Mandalay
16,Basra
17,Taizhou Jiangsu
18,Nouakchott
19,Homs
20,Cochabamba
21,Niamey
22,Kisangani
23,Pointe-Noire
24,Freetown
25,San Luis Potosi
26,Chelyabinsk
27,Moradabad
28,Barquisimeto
29,Durg-Bhilainagar
30,Ruian
31,Zhenjiang Jiangsu
32,Baoji
33,Mwanza
34,Lilongwe
35,Nanyang Henan
36,Kigali
37,Tripoli
38,Krasnoyarsk
39,Kaduna
40,Bukavu
41,Maputo
42,San Salvador
43,Shimkent
44,Bujumbura
45,Managua
46,Hargeysa
47,Asmara
48,Ilorin
49,Blantyre-Limbe
50,Dushanbe
51,Misratah
52,Bangui
53,Owerri
54,Nampula
55,Lubango
56,Ashgabat
57,Libreville
58,Banghazi
