,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Harare
6,Tegucigalpa
7,Onitsha
8,N-Djamena
9,Mandalay
10,Basra
11,Taizhou Jiangsu
12,Nouakchott
13,Homs
14,Cochabamba
15,Niamey
16,Kisangani
17,Pointe-Noire
18,Freetown
19,Astana
20,Uyo
21,Mwanza
22,Omsk
23,Lilongwe
24,Nanyang Henan
25,Kigali
26,Tripoli
27,Krasnoyarsk
28,Kaduna
29,Bukavu
30,Maputo
31,San Salvador
32,Shimkent
33,Managua
34,Bishkek
35,Siliguri
36,Oslo
37,Solapur
38,Hargeysa
39,Teresina
40,Fuzhou Jiangxi
41,Leshan
42,Austin
43,Odesa
44,Padang
45,Ilorin
46,Blantyre-Limbe
47,Dushanbe
48,Misratah
49,Ulsan
50,Bangui
51,Owerri
52,Bergamo
53,Sylhet
54,Nampula
55,Hermosillo
56,San Francisco
57,Lubango
58,Ashgabat
59,Saratov
60,Banghazi
61,Valencia
