,URL
0,Madurai
1,Montevideo
2,Mosul
3,Novosibirsk
4,Tabriz
5,Muscat
6,Tegucigalpa
7,Onitsha
8,N-Djamena
9,Mandalay
10,Basra
11,Taizhou Jiangsu
12,Nouakchott
13,Homs
14,Copenhagen
15,Cochabamba
16,Niamey
17,Kisangani
18,Pointe-Noire
19,Freetown
20,Astana
21,Uyo
22,Mwanza
23,Omsk
24,Lilongwe
25,Nanyang Henan
26,Kigali
27,Tripoli
28,Krasnoyarsk
29,Kaduna
30,Bukavu
31,Maputo
32,San Salvador
33,Shimkent
34,Bujumbura
35,Managua
36,Bishkek
37,Hargeysa
38,Rotterdam
39,Odesa
40,Asmara
41,Changshu
42,Ilorin
43,Blantyre-Limbe
44,Dushanbe
45,Misratah
46,Bangui
47,Owerri
48,Nampula
49,Lubango
50,Ashgabat
51,Libreville
52,Banghazi
53,Luzhou
