,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Munich
6,Kananga
7,Suqian
8,Edmonton
9,Tegucigalpa
10,Onitsha
11,N-Djamena
12,Ranchi
13,Mandalay
14,Asansol
15,Kota
16,Gwalior
17,Zurich
18,Joao Pessoa
19,Taizhou Jiangsu
20,Nouakchott
21,Queretaro
22,Homs
23,Copenhagen
24,Konya
25,Ganzhou
26,Cochabamba
27,Niamey
28,Jiaxing
29,Kisangani
30,Pointe-Noire
31,Freetown
32,Astana
33,Uyo
34,Mwanza
35,Omsk
36,Lilongwe
37,Nanyang Henan
38,Kigali
39,Tripoli
40,Krasnoyarsk
41,Kaduna
42,Bukavu
43,Maputo
44,San Salvador
45,Shimkent
46,Bujumbura
47,Managua
48,Bishkek
49,Hargeysa
50,Asmara
51,Ilorin
52,Blantyre-Limbe
53,Dushanbe
54,Jiujiang
55,Misratah
56,Bangui
57,Owerri
58,Nampula
59,Lubango
60,Ashgabat
61,Libreville
62,Banghazi
