,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Muscat
5,Harare
6,Tegucigalpa
7,Onitsha
8,N-Djamena
9,Ranchi
10,Kathmandu
11,Mandalay
12,Asansol
13,Kota
14,Allahabad
15,Ottawa
16,Basra
17,Taizhou Jiangsu
18,Nouakchott
19,Homs
20,Cochabamba
21,Niamey
22,Kisangani
23,Pointe-Noire
24,Freetown
25,Astana
26,Uyo
27,Mwanza
28,Omsk
29,Lilongwe
30,Nanyang Henan
31,Jinhua
32,Kigali
33,Tripoli
34,Krasnoyarsk
35,Kaduna
36,Bukavu
37,Maputo
38,San Salvador
39,Shimkent
40,Bujumbura
41,Managua
42,Bishkek
43,Hargeysa
44,Fuzhou Jiangxi
45,Aracaju
46,Asmara
47,Ilorin
48,Blantyre-Limbe
49,Dushanbe
50,Misratah
51,Bangui
52,Owerri
53,Nampula
54,Lubango
55,Ashgabat
56,Libreville
57,Banghazi
