,URL
0,Montevideo
1,Mosul
2,Novosibirsk
3,Tabriz
4,Yinchuan
5,Muscat
6,Harare
7,Tegucigalpa
8,Onitsha
9,N-Djamena
10,Mandalay
11,Basra
12,Taizhou Jiangsu
13,Nouakchott
14,Homs
15,Cochabamba
16,Niamey
17,Kisangani
18,Prague
19,Nanchong
20,Nizhniy Novgorod
21,Pointe-Noire
22,Freetown
23,San Luis Potosi
24,Mysore
25,Astana
26,Uyo
27,Mwanza
28,Omsk
29,Lilongwe
30,Nanyang Henan
31,Kigali
32,Tripoli
33,Krasnoyarsk
34,Kaduna
35,Bukavu
36,Cologne
37,Maputo
38,San Salvador
39,Shimkent
40,Bujumbura
41,Managua
42,Bishkek
43,Hargeysa
44,Asmara
45,Ilorin
46,Blantyre-Limbe
47,Dushanbe
48,Misratah
49,Bangui
50,Owerri
51,Nampula
52,Lubango
53,Ashgabat
54,Libreville
55,Banghazi
