,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Newcastle upon Tyne,21,O3,25,1,3,7,201,6,8,20,0,0
1,Thessaloniki,70,PM2.5,38,2,16,31,148,17,0,0,1,0
2,Bologna,84,PM2.5,11,0,28,31,222,24,0,0,0,0
3,Barcelona-Puerto La Cruz,35,PM2.5,15,0,10,16,198,15,2,16,0,0
4,Cherthala,115,PM2.5,15,6,39,66,968,21,18,35,0,0
5,Quzhou,123,PM2.5,81,2,46,91,620,13,0,0,0,0
6,Sorocaba,60,PM2.5,8,1,15,29,498,14,0,0,1,0
7,Nottingham,46,PM2.5,3,1,11,25,191,38,7,31,0,0
8,Xalapa,59,PM2.5,12,2,15,22,386,10,0,0,0,0
9,Frankfurt,91,PM2.5,4,1,33,41,371,27,0,0,0,0
10,Nakhon Ratchasima,67,PM2.5,48,1,20,34,380,10,0,0,0,0
11,Vereeniging,51,PM2.5,34,8,13,33,175,29,17,20,0,0
12,Seattle,26,PM10,27,0,6,28,218,19,4,11,0,0
13,Bozhou,109,PM2.5,37,1,37,76,130,9,0,0,0,0
14,Nellore,85,PM2.5,20,2,25,61,574,29,5,14,0,0
15,Hamilton,61,PM2.5,4,1,15,29,568,22,15,66,0,0
16,Cagayan de Oro City,93,PM2.5,17,0,35,91,134,12,0,0,0,0
17,Krakow,145,PM2.5,2,5,52,65,962,27,0,79,4,0
18,Gorakhpur,157,PM2.5,26,6,55,120,655,10,2,17,0,0
19,Dasmarinas,73,PM2.5,27,1,21,63,199,29,0,0,0,0
20,Ar-Rayyan,60,PM2.5,47,1,17,70,132,2,0,0,0,0
21,Cuttack,155,PM2.5,65,11,69,100,476,8,0,0,0,0
22,Denver,36,PM2.5,19,0,8,19,357,32,0,4,0,0
23,Qingyuan,94,PM2.5,61,2,36,67,289,35,1,11,0,0
24,Banjarmasin,38,PM2.5,26,1,6,10,193,3,0,0,0,0
25,Kottayam,101,PM2.5,16,6,30,80,948,20,15,22,0,0
26,Belgaum,21,PM2.5,6,0,6,11,266,17,13,0,2,0
27,Sheffield,43,PM2.5,25,1,14,18,166,28,7,29,0,0
28,Gaza,76,PM10,35,0,23,124,373,3,1,4,0,0
29,Zaragoza,33,O3,35,1,7,19,114,4,3,7,0,0
30,Zaporizhzhya,116,PM2.5,25,4,45,50,258,20,0,0,0,0
31,Malegaon,166,PM2.5,27,6,88,115,567,20,2,9,2,0
32,Sao Jose dos Campos,61,PM2.5,4,0,21,33,201,16,0,0,1,0
33,Mangalore,151,PM2.5,14,2,67,78,323,29,7,20,0,0
34,Okayama,89,PM2.5,19,9,26,35,824,35,8,43,0,151
35,Ribeirao Preto,63,PM2.5,37,1,17,19,167,3,0,0,0,0
36,Xianyang Shaanxi,63,PM2.5,37,1,17,19,167,3,0,0,0,0
37,Bunia,23,PM2.5,19,0,6,9,138,0,0,0,0,0
38,Lviv,114,PM2.5,7,4,45,66,346,39,0,15,0,0
39,Tongliao,81,PM2.5,26,3,24,33,350,7,0,0,0,0
40,Sialkot,160,PM2.5,64,4,44,76,717,9,17,36,0,0
41,Buffalo City,62,PM2.5,31,0,17,48,87,37,0,0,0,0
42,Suining Sichuan,62,PM2.5,31,0,17,48,87,37,0,0,0,0
43,Oaxaca de Juarez,60,PM2.5,9,0,13,19,366,9,0,0,0,0
44,Washington,70,PM2.5,10,1,22,55,378,24,32,56,0,0
45,Sargodha,103,PM2.5,59,2,29,43,348,4,0,0,0,0
46,Bhavnagar,169,PM2.5,29,22,90,155,901,14,7,23,7,0
47,Gold Coast,35,PM2.5,22,1,8,31,61,23,0,0,0,0
48,Florence,62,PM2.5,6,0,17,30,387,18,11,47,0,0
49,Jammu,65,PM2.5,6,1,13,28,619,26,38,79,0,0
50,Yulin Shaanxi,65,PM2.5,6,1,13,28,619,26,38,79,0,0
51,Nanded Waghala,162,PM2.5,9,11,78,115,216,1,11,12,1,0
52,Tirupati,67,PM2.5,10,0,20,33,758,16,6,16,0,0
53,Bacoor,65,PM2.5,26,1,20,20,202,19,0,0,0,0
54,The Hague,51,PM2.5,31,1,13,35,146,34,3,0,1,0
55,Seville,85,PM2.5,6,2,27,34,445,26,6,17,0,0
56,Dongtai,129,PM2.5,48,3,48,113,764,15,0,0,0,0
57,Bali,71,PM2.5,14,0,24,47,107,16,0,0,0,0
58,Boston,70,PM2.5,2,0,21,39,548,26,25,47,0,0
59,Yuxi,47,PM2.5,35,2,11,22,379,5,0,0,0,0
60,Bristol,61,PM2.5,2,1,17,25,466,25,14,40,0,0
61,Cheonan,65,PM2.5,5,2,17,33,792,18,3,7,0,0
62,Jundiai,63,PM2.5,0,1,14,24,395,20,0,0,1,0
63,Gulbarga,90,PM2.5,12,10,30,67,966,8,9,22,0,0
64,Padova,84,PM2.5,2,1,25,26,338,9,0,0,0,0
65,Durgapur,180,PM2.5,65,6,107,281,651,9,7,27,5,0
66,Kurnool,101,PM2.5,30,4,34,52,602,8,2,9,1,0
67,El Paso,34,PM10,40,0,6,43,100,8,2,1,0,0
68,Nantes,78,PM2.5,16,2,27,44,194,34,0,0,0,0
69,Zagreb,99,PM2.5,4,4,33,37,349,19,0,0,2,0
70,Nashville,52,PM2.5,25,0,9,22,89,12,0,0,0,0
71,Genoa,69,PM2.5,33,1,25,36,145,22,0,0,0,0
72,Ezhou,72,PM2.5,5,0,21,31,470,18,3,22,0,0
73,Santiago,64,PM2.5,16,1,21,46,399,23,0,0,0,0
74,Mar Del Plata,21,PM2.5,16,0,5,9,59,0,0,0,0,0
75,Lodz,136,PM2.5,2,3,48,60,999,31,0,58,5,0
76,Oklahoma City,33,PM2.5,26,1,7,32,118,11,0,0,0,0
77,Las Vegas,42,PM2.5,22,0,11,35,296,32,0,0,0,0
78,General Santos City,26,O3,25,0,5,8,132,1,0,0,0,0
79,Detroit,42,PM2.5,15,1,7,28,284,13,0,0,0,0
80,Manama,152,PM2.5,49,29,61,166,205,45,0,0,0,0
81,Portland,32,PM2.5,32,1,6,24,45,11,0,1,0,0
82,Macao,85,PM2.5,93,3,31,60,441,14,0,0,0,0
83,Zhoushan,41,PM2.5,24,0,5,5,87,1,0,0,0,0
84,Jhansi,126,PM2.5,51,6,35,71,348,22,1,7,0,0
85,Memphis,47,PM2.5,31,0,10,18,99,10,0,0,0,0
86,Doha,160,PM2.5,57,24,73,170,211,33,0,0,0,0
87,Chiclayo,29,PM2.5,18,0,7,10,61,1,0,0,0,0
88,Wuhai,35,O3,40,3,6,25,349,3,0,0,0,0
89,Be'er Sheva,91,PM2.5,39,1,38,122,306,2,1,3,0,0
90,Durango,21,O3,23,0,2,3,109,3,0,0,0,0
91,Bokaro Steel City,166,PM2.5,29,5,77,77,1971,0,0,32,0,0
