,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Newcastle upon Tyne,17,O3,22,0,2,4,141,4,13,16,0,0
1,Thessaloniki,154,PM2.5,5,3,50,115,131,11,0,0,11,0
2,Bologna,105,PM2.5,12,0,35,44,296,31,0,0,0,0
3,Barcelona-Puerto La Cruz,31,PM2.5,25,2,8,12,138,15,0,0,0,0
4,Cherthala,122,PM2.5,69,6,49,75,509,18,0,0,0,0
5,Quzhou,119,PM2.5,24,4,45,146,804,29,0,0,0,0
6,Sorocaba,63,PM2.5,8,1,20,36,1062,28,0,0,3,0
7,Nottingham,54,PM2.5,19,1,11,28,160,22,9,26,0,0
8,Xalapa,54,PM2.5,19,1,11,28,160,22,9,26,0,0
9,Frankfurt,68,PM2.5,9,1,22,35,236,30,0,0,0,0
10,Nakhon Ratchasima,86,PM2.5,34,1,27,52,490,12,0,0,0,0
11,Vereeniging,55,PM2.5,37,2,15,28,237,11,2,6,0,0
12,Seattle,45,PM2.5,17,0,9,23,377,38,5,20,0,0
13,Bozhou,133,PM2.5,30,1,50,71,168,11,0,0,0,0
14,Nellore,91,PM2.5,36,1,36,53,181,30,0,0,0,0
15,Hamilton,76,PM2.5,2,1,22,77,704,37,24,64,0,0
16,Cagayan de Oro City,77,PM2.5,31,0,30,45,113,5,0,0,0,0
17,Krakow,155,PM2.5,1,4,58,91,1041,22,0,69,5,0
18,Gorakhpur,169,PM2.5,47,10,93,151,719,15,0,0,0,0
19,Dasmarinas,80,PM2.5,41,1,28,56,195,24,0,0,0,0
20,Ar-Rayyan,56,PM2.5,16,1,16,46,159,8,0,0,0,0
21,Cuttack,142,PM2.5,34,7,50,72,444,8,0,0,0,0
22,Denver,44,PM2.5,32,0,9,27,265,25,0,2,0,0
23,Qingyuan,123,PM2.5,38,2,41,71,331,37,3,17,0,0
24,Banjarmasin,43,PM2.5,27,1,14,21,155,6,0,0,0,0
25,Kottayam,126,PM2.5,63,6,48,113,502,19,0,0,0,0
26,Belgaum,54,PM2.5,2,1,14,15,475,24,14,0,0,0
27,Sheffield,29,NO2,8,1,5,8,492,31,23,54,0,0
28,Gaza,75,PM2.5,17,0,24,80,641,6,0,6,1,0
29,Zaragoza,37,PM2.5,37,0,12,23,113,8,0,0,0,0
30,Zaporizhzhya,113,PM2.5,20,3,41,48,269,21,0,0,0,0
31,Malegaon,163,PM2.5,34,10,78,115,376,17,0,0,0,0
32,Sao Jose dos Campos,77,PM2.5,20,0,25,39,104,20,0,0,0,0
33,Mangalore,151,PM2.5,29,1,42,82,338,29,0,0,0,0
34,Okayama,69,PM2.5,8,2,20,52,765,41,13,25,0,221
35,Ribeirao Preto,70,PM2.5,22,1,19,33,217,22,0,0,0,0
36,Xianyang Shaanxi,70,PM2.5,22,1,19,33,217,22,0,0,0,0
37,Bunia,20,O3,24,0,5,8,128,0,0,0,0,0
38,Lviv,122,PM2.5,9,4,40,51,258,25,0,19,0,0
39,Tongliao,79,PM2.5,19,15,28,49,351,13,0,0,0,0
40,Sialkot,227,PM2.5,30,2,219,219,1339,18,0,0,0,0
41,Buffalo City,58,PM2.5,23,0,16,45,118,24,0,0,0,0
42,Suining Sichuan,58,PM2.5,23,0,16,45,118,24,0,0,0,0
43,Oaxaca de Juarez,59,PM2.5,23,1,16,23,284,18,0,0,0,0
44,Washington,74,PM2.5,11,1,22,55,410,31,23,50,0,0
45,Sargodha,163,PM2.5,31,1,87,107,507,3,0,0,0,0
46,Bhavnagar,147,PM2.5,32,4,49,89,341,16,0,0,0,0
47,Gold Coast,38,PM2.5,25,0,9,26,62,24,0,0,0,0
48,Florence,68,PM2.5,3,1,19,55,571,32,19,54,0,0
49,Jammu,66,PM2.5,3,1,21,51,741,41,58,106,0,0
50,Yulin Shaanxi,66,PM2.5,3,1,21,51,741,41,58,106,0,0
51,Nanded Waghala,153,PM2.5,45,14,59,91,627,3,1,3,1,0
52,Tirupati,69,PM2.5,33,0,28,28,180,6,0,0,0,0
53,Bacoor,42,PM2.5,41,1,10,17,194,4,0,0,0,0
54,The Hague,72,PM2.5,0,0,20,39,134,51,27,0,0,0
55,Seville,66,PM2.5,16,0,18,25,125,14,0,0,0,0
56,Dongtai,130,PM2.5,37,4,49,129,920,19,0,0,0,0
57,Bali,66,PM2.5,19,0,24,53,96,15,0,0,0,0
58,Boston,69,PM2.5,3,0,22,45,926,30,51,79,0,0
59,Yuxi,71,PM2.5,6,5,22,50,1233,15,0,0,0,0
60,Bristol,49,PM2.5,16,0,12,26,653,26,27,55,0,0
61,Cheonan,93,PM2.5,35,4,42,50,235,26,0,0,0,0
