,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Newcastle upon Tyne,25,PM2.5,17,1,8,12,167,5,0,5,0,0
1,Thessaloniki,78,PM2.5,18,2,23,42,148,18,0,0,2,0
2,Bologna,92,PM2.5,6,1,34,48,445,35,2,9,1,0
3,Barcelona-Puerto La Cruz,31,PM2.5,30,0,9,9,175,5,1,5,1,0
4,Cherthala,93,PM2.5,4,11,21,56,829,24,36,51,0,0
5,Quzhou,125,PM2.5,42,5,46,86,560,25,0,0,0,0
6,Sorocaba,63,PM10,20,1,16,141,361,11,0,0,1,0
7,Nottingham,59,PM2.5,12,1,14,38,187,27,1,9,0,0
8,Xalapa,40,PM2.5,17,1,10,14,236,7,0,0,0,0
9,Frankfurt,47,PM2.5,1,0,12,19,268,21,17,26,1,0
10,Nakhon Ratchasima,90,PM2.5,65,2,28,51,430,14,0,0,0,0
11,Vereeniging,57,PM2.5,19,4,17,45,382,32,7,22,2,0
12,Seattle,52,PM2.5,12,0,13,38,366,22,5,17,0,0
13,Bozhou,109,PM2.5,43,1,34,86,41,9,0,0,0,0
14,Nellore,159,PM2.5,38,5,65,108,383,27,4,17,2,0
15,Hamilton,34,PM2.5,28,0,8,24,341,13,1,11,0,0
16,Cagayan de Oro City,87,PM2.5,36,0,29,39,120,6,0,0,0,0
17,Krakow,164,PM2.5,1,3,90,96,472,22,0,64,1,0
18,Gorakhpur,169,PM2.5,15,7,91,156,1136,9,2,96,0,0
19,Dasmarinas,90,PM2.5,48,4,31,62,314,25,0,0,0,0
20,Ar-Rayyan,90,PM10,36,2,26,135,105,2,0,0,0,0
21,Cuttack,71,PM2.5,36,5,23,34,277,6,0,0,0,0
22,Denver,40,PM2.5,35,0,8,20,172,15,0,2,0,0
23,Qingyuan,66,PM2.5,46,1,19,70,200,31,2,11,0,0
24,Banjarmasin,59,PM2.5,25,1,18,27,187,9,0,0,0,0
25,Kottayam,84,PM2.5,7,9,23,78,784,21,30,45,0,0
26,Belgaum,65,PM2.5,1,1,22,24,335,12,58,3,1,0
27,Sheffield,32,PM2.5,13,1,7,12,185,8,1,7,0,0
28,Gaza,130,PM10,37,1,44,237,432,10,3,12,1,0
29,Zaragoza,28,O3,31,1,6,26,123,11,3,8,0,0
30,Zaporizhzhya,73,PM2.5,23,8,25,41,377,22,0,0,0,0
31,Malegaon,161,PM2.5,60,10,91,142,523,12,0,1,4,0
32,Sao Jose dos Campos,60,PM2.5,14,0,15,25,105,14,0,0,0,0
33,Mangalore,98,PM2.5,26,5,27,78,628,25,3,13,0,0
34,Okayama,55,PM2.5,28,3,15,45,384,44,4,14,0,75
35,Ribeirao Preto,37,PM2.5,24,0,8,8,109,6,0,0,1,0
36,Xianyang Shaanxi,37,PM2.5,24,0,8,8,109,6,0,0,1,0
37,Bunia,22,PM2.5,20,0,5,8,118,0,0,0,0,0
38,Lviv,116,PM2.5,6,3,39,57,260,31,0,10,4,0
39,Tongliao,60,PM2.5,33,2,18,18,262,6,0,0,0,0
40,Sialkot,116,PM2.5,17,1,37,120,630,14,12,47,1,0
41,Buffalo City,56,PM2.5,29,0,13,39,105,34,0,0,0,0
42,Suining Sichuan,56,PM2.5,29,0,13,39,105,34,0,0,0,0
43,Oaxaca de Juarez,33,PM2.5,24,1,7,10,190,4,0,0,0,0
44,Washington,56,PM2.5,9,1,15,43,456,37,10,31,0,0
45,Sargodha,73,PM2.5,55,2,19,28,303,2,0,0,0,0
46,Bhavnagar,187,PM2.5,23,12,137,187,1046,23,7,25,7,0
47,Gold Coast,36,PM2.5,24,1,9,34,60,25,0,0,0,0
48,Florence,31,PM2.5,26,1,8,27,358,15,0,10,0,0
49,Jammu,24,O3,31,0,4,14,351,20,3,24,0,0
50,Yulin Shaanxi,24,O3,31,0,4,14,351,20,3,24,0,0
51,Nanded Waghala,170,PM2.5,72,11,79,135,453,5,12,19,2,0
52,Tirupati,173,PM2.5,20,2,96,109,234,20,4,19,2,0
53,Bacoor,56,PM2.5,46,4,10,17,310,8,0,0,0,0
54,The Hague,76,PM2.5,7,0,26,38,367,35,9,0,1,0
55,Seville,95,PM2.5,7,2,34,34,433,31,8,25,0,0
56,Dongtai,123,PM2.5,63,6,43,83,696,17,0,0,0,0
57,Bali,74,PM2.5,30,0,23,37,203,21,0,0,0,0
58,Boston,46,PM2.5,28,0,10,52,233,16,2,14,0,0
59,Yuxi,130,PM2.5,22,6,48,92,1177,20,0,0,0,0
60,Bristol,30,PM2.5,34,0,5,12,230,8,1,10,0,0
61,Cheonan,158,PM2.5,20,5,61,85,898,23,3,12,2,0
62,Jundiai,48,PM2.5,10,1,10,23,477,17,0,0,2,0
63,Gulbarga,152,PM2.5,34,6,44,165,118,15,7,20,0,0
64,Padova,73,PM2.5,9,0,22,24,429,8,0,9,1,0
65,Durgapur,70,PM2.5,21,6,20,29,396,9,9,28,3,0
66,Kurnool,146,PM2.5,51,7,48,75,437,8,3,10,1,0
67,El Paso,54,PM10,21,1,13,56,200,19,3,13,0,0
68,Nantes,71,PM2.5,17,0,27,35,206,12,0,3,0,0
69,Zagreb,91,PM2.5,6,5,33,36,371,38,0,0,1,0
