,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Newcastle upon Tyne,32,PM2.5,23,1,7,13,170,11,1,12,0,0
1,Thessaloniki,103,PM2.5,9,2,35,64,154,21,0,0,4,0
2,Bologna,103,PM2.5,13,1,41,51,563,54,9,22,1,0
3,Barcelona-Puerto La Cruz,31,O3,33,0,6,13,176,7,3,9,1,0
4,Cherthala,52,PM2.5,4,5,10,18,702,10,30,41,0,0
5,Quzhou,97,PM2.5,2,2,30,72,535,32,0,0,0,0
6,Sorocaba,63,PM2.5,50,1,18,27,319,23,0,0,2,0
7,Nottingham,53,PM2.5,12,1,12,22,203,21,12,28,0,0
8,Xalapa,31,O3,41,0,6,9,124,1,0,0,0,0
9,Frankfurt,37,PM2.5,6,0,10,18,258,21,13,32,1,0
10,Nakhon Ratchasima,147,PM2.5,18,2,55,83,690,33,0,0,0,0
11,Vereeniging,59,PM2.5,33,1,18,31,311,26,3,14,0,0
12,Seattle,58,PM2.5,20,0,17,42,200,29,3,11,0,0
13,Bozhou,130,PM2.5,30,1,49,96,216,11,0,0,0,0
14,Nellore,160,PM2.5,25,7,69,92,572,29,3,10,2,0
15,Hamilton,51,PM2.5,28,1,12,39,263,12,1,9,0,0
16,Cagayan de Oro City,43,PM2.5,36,0,8,13,129,1,0,0,0,0
17,Krakow,135,PM2.5,1,3,51,55,327,24,0,60,1,0
18,Gorakhpur,154,PM2.5,0,7,68,132,795,11,2,57,0,0
19,Dasmarinas,69,PM2.5,39,1,23,39,160,18,0,0,0,0
20,Ar-Rayyan,68,PM2.5,17,1,22,96,132,10,0,0,0,0
21,Cuttack,43,PM2.5,22,1,10,15,246,3,0,0,0,0
22,Denver,37,PM10,39,0,9,49,229,22,0,1,0,0
23,Qingyuan,74,PM2.5,19,2,8,16,218,14,1,15,0,0
24,Banjarmasin,41,PM2.5,17,1,8,11,179,2,0,0,0,0
25,Kottayam,67,PM2.5,7,5,18,35,661,16,28,39,0,0
26,Belgaum,45,PM2.5,3,0,13,16,350,11,14,2,1,0
27,Sheffield,49,PM2.5,11,1,13,16,216,21,14,31,0,0
28,Gaza,102,PM10,33,0,34,149,439,4,0,4,1,0
29,Zaragoza,42,PM2.5,32,2,11,12,130,19,4,13,0,0
30,Zaporizhzhya,82,PM2.5,13,11,29,31,537,24,0,0,0,0
31,Malegaon,152,PM2.5,18,3,62,108,888,20,1,8,3,0
32,Sao Jose dos Campos,77,PM2.5,46,0,27,30,201,19,0,0,0,0
33,Mangalore,143,PM2.5,8,2,54,76,398,13,4,14,0,0
34,Okayama,33,PM2.5,19,2,9,37,295,25,1,4,0,86
35,Ribeirao Preto,55,PM2.5,38,0,14,41,148,14,0,0,0,0
36,Xianyang Shaanxi,55,PM2.5,38,0,14,41,148,14,0,0,0,0
37,Bunia,18,PM2.5,17,0,4,7,114,0,0,0,0,0
38,Lviv,109,PM2.5,14,3,44,58,206,26,0,24,2,0
39,Tongliao,89,PM2.5,31,3,28,33,350,13,0,0,0,0
40,Sialkot,152,PM2.5,13,2,56,85,827,13,13,23,0,0
41,Buffalo City,72,PM2.5,23,0,22,55,81,30,0,0,0,0
42,Suining Sichuan,72,PM2.5,23,0,22,55,81,30,0,0,0,0
43,Oaxaca de Juarez,52,PM2.5,44,0,14,15,91,8,0,0,0,0
44,Washington,51,PM2.5,32,1,11,39,231,20,11,26,0,0
45,Sargodha,119,PM2.5,24,2,41,59,475,4,0,0,0,0
46,Bhavnagar,190,PM2.5,15,13,129,214,970,19,12,32,7,0
47,Gold Coast,25,PM2.5,26,1,5,18,51,14,0,0,0,0
48,Florence,37,PM2.5,31,1,9,13,242,3,1,7,0,0
49,Jammu,37,PM2.5,36,0,9,21,205,15,2,9,0,0
50,Yulin Shaanxi,37,PM2.5,36,0,9,21,205,15,2,9,0,0
51,Nanded Waghala,136,PM2.5,2,11,51,82,415,4,12,16,0,0
52,Tirupati,161,PM2.5,26,3,73,80,831,5,2,7,2,0
53,Bacoor,38,PM2.5,39,0,9,16,163,2,0,0,0,0
54,The Hague,76,PM2.5,13,0,24,32,250,33,3,0,1,0
55,Seville,63,PM2.5,32,2,18,38,360,24,7,21,0,0
56,Dongtai,107,PM2.5,21,2,39,60,682,15,0,0,0,0
57,Bali,26,O3,27,0,4,7,143,1,0,0,0,0
58,Boston,39,PM2.5,33,0,10,27,243,13,4,8,0,0
59,Yuxi,114,PM2.5,18,4,42,52,636,15,0,0,0,0
60,Bristol,27,O3,37,0,4,14,168,1,1,3,0,0
61,Cheonan,163,PM2.5,6,2,70,85,762,16,3,10,1,0
62,Jundiai,60,O3,50,1,15,40,279,10,0,0,2,0
63,Gulbarga,163,PM2.5,11,6,76,124,367,41,11,48,0,0
64,Padova,92,PM2.5,11,0,32,38,612,19,0,25,2,0
65,Durgapur,158,PM2.5,19,19,73,102,267,9,8,27,1,0
66,Kurnool,157,PM2.5,14,9,65,96,571,13,2,10,1,0
67,El Paso,52,PM2.5,21,0,12,48,200,11,5,7,0,0
68,Nantes,64,PM2.5,23,0,21,27,141,28,3,1,0,0
69,Zagreb,81,PM2.5,11,5,26,28,351,25,0,0,1,0
70,Nashville,71,PM2.5,36,0,24,45,111,13,0,0,0,0
71,Genoa,79,PM2.5,25,2,23,23,331,30,2,8,1,0
72,Ezhou,45,PM2.5,33,1,10,25,337,18,1,4,0,0
73,Santiago,75,PM2.5,55,4,22,71,433,33,0,0,0,0
74,Mar Del Plata,52,PM2.5,18,0,11,23,70,8,0,0,0,0
75,Lodz,116,PM2.5,1,1,45,53,546,18,0,26,3,0
76,Oklahoma City,60,PM10,44,0,15,87,400,19,2,7,0,0
77,Las Vegas,59,PM10,24,0,14,71,361,27,12,0,0,0
78,General Santos City,34,PM2.5,20,0,9,13,226,2,0,0,0,0
79,Detroit,35,PM10,33,1,8,33,194,20,0,0,0,0
80,Manama,137,PM2.5,33,35,49,91,200,22,0,0,0,0
81,Portland,51,PM2.5,9,1,13,29,251,23,21,34,0,0
82,Macao,84,PM2.5,13,4,29,70,613,42,0,0,0,0
83,Zhoushan,59,PM2.5,36,0,16,29,116,15,0,0,0,0
