,city,AQI,dominant_pollutant,O3,SO2,PM2.5,PM10,CO,NO2,NO,NOX,C6H6,NMHC
0,Tokyo,63,PM2.5,23,1,18,48,234,52,5,25,0,147
1,Delhi,196,PM2.5,10,4,111,290,1642,48,12,34,4,0
2,Shanghai,175,PM2.5,40,3,102,107,781,36,0,0,0,0
3,Sao Paulo,175,PM2.5,40,3,102,107,781,36,0,0,0,0
4,Mexico City,175,PM2.5,58,3,106,111,789,26,0,0,0,0
5,Mumbai,154,PM2.5,2,5,58,173,309,44,6,27,7,0
6,Osaka,52,PM2.5,10,0,12,28,269,22,14,42,0,0
7,Karachi,118,PM2.5,67,8,40,59,376,8,0,0,0,0
8,Chongqing,143,PM2.5,2,4,46,124,963,30,0,0,0,0
9,Istanbul,80,PM2.5,7,5,25,62,1867,57,0,0,0,0
10,Buenos Aires,80,PM2.5,7,5,25,62,1867,57,0,0,0,0
11,Kolkata,165,PM2.5,38,6,83,143,1325,17,3,14,8,0
12,Kinshasa,165,PM2.5,38,6,83,143,1325,17,3,14,8,0
13,Manila,69,PM2.5,28,0,21,40,236,27,0,0,0,0
14,Tianjin,78,PM2.5,7,2,23,99,647,57,0,0,0,0
15,Guangzhou,85,PM2.5,57,3,30,58,592,23,0,0,0,0
16,Rio de Janeiro,90,PM2.5,46,12,35,58,272,30,0,0,0,0
17,Lahore,221,PM2.5,13,5,153,153,364,33,18,83,1,0
18,Bangalore,97,PM10,11,3,26,146,448,45,7,24,0,0
19,Moscow,106,PM2.5,8,3,39,40,649,55,147,0,0,0
20,Shenzhen,51,O3,62,2,14,40,326,10,0,0,0,0
21,Chennai,51,O3,62,2,14,40,326,10,0,0,0,0
22,Jakarta,69,PM10,9,5,17,92,2237,58,0,0,0,0
23,Lima,68,PM2.5,9,0,21,23,380,15,0,0,0,0
24,Bangkok,128,PM2.5,63,1,47,90,811,42,0,0,0,0
25,Hyderabad,109,PM2.5,7,1,36,149,690,37,4,20,2,0
26,Seoul,75,PM2.5,3,4,22,35,657,34,0,0,0,0
27,Nagoya,76,PM2.5,6,3,26,54,489,75,14,58,0,316
28,London,32,PM2.5,18,1,9,20,1048,22,1,7,0,0
29,Chengdu,119,PM2.5,6,2,43,64,804,29,0,0,0,0
30,Tehran,119,PM2.5,6,2,43,64,804,29,0,0,0,0
31,Nanjing,163,PM2.5,33,2,80,174,868,67,0,0,0,0
32,Ho Chi Minh City,137,PM2.5,2,5,49,57,1281,109,0,0,0,0
33,Wuhan,136,PM2.5,26,5,50,160,1114,91,0,0,0,0
34,Xi-an Shaanxi,133,PM2.5,14,4,48,112,388,19,23,36,5,0
35,Ahmedabad,130,PM2.5,28,9,49,148,548,32,4,13,3,0
36,New York City,61,PM2.5,16,0,16,50,208,15,10,26,0,0
37,Kuala Lumpur,118,PM2.5,18,6,46,81,1687,77,0,0,0,0
38,Hangzhou,171,PM2.5,40,4,106,145,1209,47,0,0,0,0
39,Hong Kong,55,PM2.5,47,1,14,26,404,24,0,0,0,0
40,Surat,174,PM2.5,14,38,114,180,1254,29,6,20,9,0
41,Dongguan,97,PM2.5,66,3,39,71,433,22,0,0,0,0
42,Suzhou,70,PM2.5,28,0,20,55,227,34,0,0,0,0
43,Foshan,70,PM2.5,28,0,20,55,227,34,0,0,0,0
44,Riyadh,70,PM2.5,28,0,20,55,227,34,0,0,0,0
45,Shenyang,86,O3,56,2,21,56,361,17,0,0,0,0
46,Baghdad,86,O3,56,2,21,56,361,17,0,0,0,0
47,Santiago,76,PM2.5,2,2,26,63,547,42,0,0,0,0
48,Pune,147,PM2.5,23,8,54,112,1420,48,37,106,3,0
49,Madrid,60,PM2.5,13,2,20,37,299,40,7,30,1,0
50,Haerbin,109,PM2.5,22,7,48,58,759,12,0,0,0,0
51,Toronto,64,PM2.5,19,3,18,29,270,18,4,13,0,0
52,Singapore,67,PM2.5,23,4,20,42,246,43,0,0,0,0
53,Khartoum,67,PM2.5,23,4,20,42,246,43,0,0,0,0
54,Johannesburg,113,PM2.5,38,5,41,71,737,56,15,40,0,0
55,Dalian,113,PM2.5,38,5,41,71,737,56,15,40,0,0
56,Barcelona,113,PM2.5,38,5,41,71,737,56,15,40,0,0
57,Fukuoka,69,PM2.5,28,0,18,32,277,33,10,21,1,0
58,Ji-nan Shandong,187,PM2.5,3,6,136,169,1405,75,0,0,0,0
59,Zhengzhou,242,PM2.5,18,2,151,197,599,52,0,0,0,0
60,Saint Petersburg,95,PM2.5,19,5,34,39,312,41,0,0,0,0
61,Alexandria,59,PM2.5,35,13,17,27,137,8,0,0,0,0
62,Ankara,134,PM2.5,9,5,53,123,372,54,0,0,0,0
63,Chittagong,81,PM2.5,26,2,25,42,266,8,1,10,0,0
64,Melbourne,43,PM2.5,16,1,11,35,257,18,0,0,0,0
65,Sydney,56,PM2.5,49,0,8,16,288,0,0,0,0,0
66,Monterrey,78,PM2.5,15,7,23,34,659,29,0,0,0,0
67,Nairobi,33,O3,38,1,8,11,232,1,0,0,0,0
68,Hanoi,159,PM2.5,17,15,66,121,826,71,0,0,0,0
69,Brasilia,28,O3,41,1,6,8,146,3,0,0,0,0
70,Cape Town,70,PM2.5,18,3,20,63,748,34,5,7,0,0
71,Jiddah,126,PM2.5,26,106,44,113,160,53,0,0,0,0
72,Changsha,151,PM2.5,59,3,54,95,896,30,0,0,0,0
73,Kunming,30,PM2.5,29,4,8,35,493,10,0,0,0,0
74,Urumqi,66,PM2.5,4,2,19,42,1173,37,0,0,0,0
75,Changchun,119,PM2.5,12,3,44,66,716,20,0,0,0,0
76,Xinbei,70,PM2.5,22,1,20,45,456,57,4,27,0,0
77,Shantou,54,PM2.5,50,3,14,48,191,10,0,0,0,0
78,Hefei,155,PM2.5,35,2,57,173,638,63,0,0,0,0
79,Rome,77,PM2.5,1,1,21,29,681,39,12,23,2,0
80,Ningbo,141,PM2.5,62,5,50,135,1023,35,0,0,0,0
